Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_voicing,stim1_Closure,stim1_F1,stim2_f0,stim2_voicing,stim2_Closure,stim2_F1
f1_voicing_dur,0.0022749900817871094,0,16,,0,,0,,0,,1
f1_voicing_dur,0.002658069133758545,1,16,,0,,0,,1,,1
f1_voicing_dur,4.9948692321777344e-05,0,16,,0,,0,,1,,0
f1_voicing_dur,7.832050323486328e-05,0,16,,0,,1,,1,,1
f1_voicing_dur,0.002399146556854248,1,16,,0,,1,,1,,0
f1_voicing_dur,0.0027222037315368652,0,16,,1,,1,,1,,0
f1_closure_dur_low_f0,0.0008481144905090332,0,16,0,,0,0,0,,1,0
f1_closure_dur_low_f0,0.0008564591407775879,0,16,0,,0,0,0,,0,1
f1_closure_dur_low_f0,0.0034442543983459473,0,16,0,,0,0,0,,1,1
f1_closure_dur_low_f0,0.00048798322677612305,0,16,0,,1,0,0,,0,1
f1_closure_dur_low_f0,0.0010756850242614746,0,16,0,,1,0,0,,1,1
f1_closure_dur_low_f0,0.0013800859451293945,0,16,0,,0,1,0,,1,1
f1_closure_dur_high_f0,0.004405617713928223,0,16,1,,1,1,1,,0,0
f1_closure_dur_high_f0,0.0013061165809631348,0,16,1,,1,1,1,,1,0
f1_closure_dur_high_f0,0.0012384653091430664,0,16,1,,1,1,1,,0,1
f1_closure_dur_high_f0,0.0011427998542785645,0,16,1,,0,0,1,,1,0
f1_closure_dur_high_f0,0.001287221908569336,0,16,1,,0,0,1,,0,1
f1_closure_dur_high_f0,0.00047069787979125977,0,16,1,,1,0,1,,0,1
f0_voicing_dur,0.00031888484954833984,1,16,0,1,,,1,0,,
f0_voicing_dur,3.5762786865234375e-07,0,16,0,1,,,0,0,,
f0_voicing_dur,0.00028818845748901367,0,16,0,1,,,1,1,,
f0_voicing_dur,0.0003172755241394043,0,16,1,0,,,0,0,,
f0_voicing_dur,0.00010532140731811523,0,16,1,0,,,1,1,,
f0_voicing_dur,0.00028389692306518555,1,16,0,0,,,1,1,,
f0_closure_dur_low_f1,0.0003624558448791504,0,16,0,,0,0,1,,1,0
f0_closure_dur_low_f1,0.0008063912391662598,0,16,0,,0,0,0,,1,0
f0_closure_dur_low_f1,0.00032848119735717773,0,16,0,,0,0,1,,0,0
f0_closure_dur_low_f1,0.0001697540283203125,0,16,1,,1,0,0,,1,0
f0_closure_dur_low_f1,0.0011427998542785645,0,16,1,,1,0,1,,0,0
f0_closure_dur_low_f1,0.001985788345336914,0,16,0,,1,0,1,,0,0
f0_closure_dur_high_f1,0.0009055137634277344,0,16,0,,0,1,1,,1,1
f0_closure_dur_high_f1,0.0007680654525756836,0,16,0,,0,1,1,,0,1
f0_closure_dur_high_f1,0.0029927492141723633,0,16,0,,0,1,0,,1,1
f0_closure_dur_high_f1,0.0012384653091430664,0,16,1,,1,1,1,,0,1
f0_closure_dur_high_f1,0.001306295394897461,0,16,1,,1,1,0,,1,1
f0_closure_dur_high_f1,0.004779219627380371,0,16,1,,0,1,0,,1,1
