Experiment,Distance,Diagonal?,Trial,stim1_F1,stim1_f0,stim1_Closure,stim1_voicing,stim2_F1,stim2_f0,stim2_Closure,stim2_voicing
f1_voicing_dur,0.001402735710144043,0,20,0,,,0,1,,,0
f1_voicing_dur,0.001444995403289795,1,20,0,,,0,1,,,1
f1_voicing_dur,4.7326087951660156e-05,0,20,0,,,0,0,,,1
f1_voicing_dur,0.00015085935592651367,0,20,1,,,0,1,,,1
f1_voicing_dur,0.001538991928100586,1,20,1,,,0,0,,,1
f1_voicing_dur,0.0014781951904296875,0,20,1,,,1,0,,,1
f1_closure_dur_low_f0,0.0005961060523986816,0,20,0,0,0,,0,0,1,
f1_closure_dur_low_f0,0.000570833683013916,0,20,0,0,0,,1,0,0,
f1_closure_dur_low_f0,0.0020862221717834473,0,20,0,0,0,,1,0,1,
f1_closure_dur_low_f0,0.000495612621307373,0,20,0,0,1,,1,0,0,
f1_closure_dur_low_f0,0.0006812810897827148,0,20,0,0,1,,1,0,1,
f1_closure_dur_low_f0,0.0010145902633666992,0,20,1,0,0,,1,0,1,
f1_closure_dur_high_f0,0.0024227499961853027,0,20,1,1,1,,0,1,0,
f1_closure_dur_high_f0,0.0009093284606933594,0,20,1,1,1,,0,1,1,
f1_closure_dur_high_f0,0.0009936690330505371,0,20,1,1,1,,1,1,0,
f1_closure_dur_high_f0,0.0006914138793945312,0,20,0,1,0,,0,1,1,
f1_closure_dur_high_f0,0.0007038712501525879,0,20,0,1,0,,1,1,0,
f1_closure_dur_high_f0,0.0007382035255432129,0,20,0,1,1,,1,1,0,
f0_voicing_dur,0.00030237436294555664,1,20,,0,,1,,1,,0
f0_voicing_dur,2.980232238769531e-07,0,20,,0,,1,,0,,0
f0_voicing_dur,0.00034987926483154297,0,20,,0,,1,,1,,1
f0_voicing_dur,0.00029850006103515625,0,20,,1,,0,,0,,0
f0_voicing_dur,0.00019824504852294922,0,20,,1,,0,,1,,1
f0_voicing_dur,0.0003491640090942383,1,20,,0,,0,,1,,1
f0_closure_dur_low_f1,0.00041615962982177734,0,20,0,0,0,,0,1,1,
f0_closure_dur_low_f1,0.0005491375923156738,0,20,0,0,0,,0,0,1,
f0_closure_dur_low_f1,0.00026172399520874023,0,20,0,0,0,,0,1,0,
f0_closure_dur_low_f1,0.00016820430755615234,0,20,0,1,1,,0,0,1,
f0_closure_dur_low_f1,0.0006914138793945312,0,20,0,1,1,,0,1,0,
f0_closure_dur_low_f1,0.0011176466941833496,0,20,0,0,1,,0,1,0,
f0_closure_dur_high_f1,0.0011635422706604004,0,20,1,0,0,,1,1,1,
f0_closure_dur_high_f1,0.0006947517395019531,0,20,1,0,0,,1,1,0,
f0_closure_dur_high_f1,0.0023908019065856934,0,20,1,0,0,,1,0,1,
f0_closure_dur_high_f1,0.0009936690330505371,0,20,1,1,1,,1,1,0,
f0_closure_dur_high_f1,0.000821530818939209,0,20,1,1,1,,1,0,1,
f0_closure_dur_high_f1,0.003062009811401367,0,20,1,1,0,,1,0,1,
