Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_F1,stim1_voicing,stim1_Closure,stim2_f0,stim2_F1,stim2_voicing,stim2_Closure
f1_voicing_dur,0.0019396543502807617,0,21,,0,0,,,1,0,
f1_voicing_dur,0.0021030306816101074,1,21,,0,0,,,1,1,
f1_voicing_dur,3.218650817871094e-05,0,21,,0,0,,,0,1,
f1_voicing_dur,0.0001055002212524414,0,21,,1,0,,,1,1,
f1_voicing_dur,0.0019878745079040527,1,21,,1,0,,,0,1,
f1_voicing_dur,0.0020972490310668945,0,21,,1,1,,,0,1,
f1_closure_dur_low_f0,0.0007759928703308105,0,21,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.000606238842010498,0,21,0,0,,0,0,1,,0
f1_closure_dur_low_f0,0.002940356731414795,0,21,0,0,,0,0,1,,1
f1_closure_dur_low_f0,0.00041538476943969727,0,21,0,0,,1,0,1,,0
f1_closure_dur_low_f0,0.0008360147476196289,0,21,0,0,,1,0,1,,1
f1_closure_dur_low_f0,0.0013450980186462402,0,21,0,1,,0,0,1,,1
f1_closure_dur_high_f0,0.0034508705139160156,0,21,1,1,,1,1,0,,0
f1_closure_dur_high_f0,0.0011930465698242188,0,21,1,1,,1,1,0,,1
f1_closure_dur_high_f0,0.001262068748474121,0,21,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.000758051872253418,0,21,1,0,,0,1,0,,1
f1_closure_dur_high_f0,0.0008620023727416992,0,21,1,0,,0,1,1,,0
f1_closure_dur_high_f0,0.000498652458190918,0,21,1,0,,1,1,1,,0
f0_voicing_dur,0.00010210275650024414,1,21,0,,1,,1,,0,
f0_voicing_dur,2.980232238769531e-07,0,21,0,,1,,0,,0,
f0_voicing_dur,0.00016355514526367188,0,21,0,,1,,1,,1,
f0_voicing_dur,0.00010091066360473633,0,21,1,,0,,0,,0,
f0_voicing_dur,0.00013709068298339844,0,21,1,,0,,1,,1,
f0_voicing_dur,0.00016301870346069336,1,21,0,,0,,1,,1,
f0_closure_dur_low_f1,0.00031250715255737305,0,21,0,0,,0,1,0,,1
f0_closure_dur_low_f1,0.0006426572799682617,0,21,0,0,,0,0,0,,1
f0_closure_dur_low_f1,0.000250399112701416,0,21,0,0,,0,1,0,,0
f0_closure_dur_low_f1,0.00017243623733520508,0,21,1,0,,1,0,0,,1
f0_closure_dur_low_f1,0.000758051872253418,0,21,1,0,,1,1,0,,0
f0_closure_dur_low_f1,0.0014473795890808105,0,21,0,0,,1,1,0,,0
f0_closure_dur_high_f1,0.000738978385925293,0,21,0,1,,0,1,1,,1
f0_closure_dur_high_f1,0.0007619261741638184,0,21,0,1,,0,1,1,,0
f0_closure_dur_high_f1,0.0024452805519104004,0,21,0,1,,0,0,1,,1
f0_closure_dur_high_f1,0.001262068748474121,0,21,1,1,,1,1,1,,0
f0_closure_dur_high_f1,0.0012395977973937988,0,21,1,1,,1,0,1,,1
f0_closure_dur_high_f1,0.0045555830001831055,0,21,1,1,,0,0,1,,1
