Experiment,Distance,Diagonal?,Trial,stim1_F1,stim1_Closure,stim1_voicing,stim1_f0,stim2_F1,stim2_Closure,stim2_voicing,stim2_f0
f1_voicing_dur,0.0017992854118347168,0,24,0,,0,,1,,0,
f1_voicing_dur,0.00198441743850708,1,24,0,,0,,1,,1,
f1_voicing_dur,3.2782554626464844e-05,0,24,0,,0,,0,,1,
f1_voicing_dur,0.00012052059173583984,0,24,1,,0,,1,,1,
f1_voicing_dur,0.001750349998474121,1,24,1,,0,,0,,1,
f1_voicing_dur,0.001873791217803955,0,24,1,,1,,0,,1,
f1_closure_dur_low_f0,0.000574648380279541,0,24,0,0,,0,0,1,,0
f1_closure_dur_low_f0,0.0005227327346801758,0,24,0,0,,0,1,0,,0
f1_closure_dur_low_f0,0.001943826675415039,0,24,0,0,,0,1,1,,0
f1_closure_dur_low_f0,0.0005354881286621094,0,24,0,1,,0,1,0,,0
f1_closure_dur_low_f0,0.0005595088005065918,0,24,0,1,,0,1,1,,0
f1_closure_dur_low_f0,0.0010993480682373047,0,24,1,0,,0,1,1,,0
f1_closure_dur_high_f0,0.002871394157409668,0,24,1,1,,1,0,0,,1
f1_closure_dur_high_f0,0.0010851621627807617,0,24,1,1,,1,0,1,,1
f1_closure_dur_high_f0,0.0012507438659667969,0,24,1,1,,1,1,0,,1
f1_closure_dur_high_f0,0.0006873011589050293,0,24,0,0,,1,0,1,,1
f1_closure_dur_high_f0,0.0007538199424743652,0,24,0,0,,1,1,0,,1
f1_closure_dur_high_f0,0.000751793384552002,0,24,0,1,,1,1,0,,1
f0_voicing_dur,0.00017005205154418945,1,24,,,1,0,,,0,1
f0_voicing_dur,3.5762786865234375e-07,0,24,,,1,0,,,0,0
f0_voicing_dur,0.00040084123611450195,0,24,,,1,0,,,1,1
f0_voicing_dur,0.00017309188842773438,0,24,,,0,1,,,0,0
f0_voicing_dur,0.0001773238182067871,0,24,,,0,1,,,1,1
f0_voicing_dur,0.00040799379348754883,1,24,,,0,0,,,1,1
f0_closure_dur_low_f1,0.00025218725204467773,0,24,0,0,,0,0,1,,1
f0_closure_dur_low_f1,0.0004706382751464844,0,24,0,0,,0,0,1,,0
f0_closure_dur_low_f1,0.0003502368927001953,0,24,0,0,,0,0,0,,1
f0_closure_dur_low_f1,0.0001888871192932129,0,24,0,1,,1,0,1,,0
f0_closure_dur_low_f1,0.0006873011589050293,0,24,0,1,,1,0,0,,1
f0_closure_dur_low_f1,0.0013290047645568848,0,24,0,1,,0,0,0,,1
f0_closure_dur_high_f1,0.0009589195251464844,0,24,1,0,,0,1,1,,1
f0_closure_dur_high_f1,0.000889897346496582,0,24,1,0,,0,1,0,,1
f0_closure_dur_high_f1,0.002229452133178711,0,24,1,0,,0,1,1,,0
f0_closure_dur_high_f1,0.0012507438659667969,0,24,1,1,,1,1,0,,1
f0_closure_dur_high_f1,0.0010682344436645508,0,24,1,1,,1,1,1,,0
f0_closure_dur_high_f1,0.004074275493621826,0,24,1,0,,1,1,1,,0
