Experiment,Distance,Diagonal?,Trial,stim1_F1,stim1_Closure,stim1_f0,stim1_voicing,stim2_F1,stim2_Closure,stim2_f0,stim2_voicing
f1_voicing_dur,0.002065002918243408,0,25,0,,,0,1,,,0
f1_voicing_dur,0.0022211670875549316,1,25,0,,,0,1,,,1
f1_voicing_dur,1.233816146850586e-05,0,25,0,,,0,0,,,1
f1_voicing_dur,5.14984130859375e-05,0,25,1,,,0,1,,,1
f1_voicing_dur,0.0020158886909484863,1,25,1,,,0,0,,,1
f1_voicing_dur,0.0021551847457885742,0,25,1,,,1,0,,,1
f1_closure_dur_low_f0,0.0007996559143066406,0,25,0,0,0,,0,1,0,
f1_closure_dur_low_f0,0.00047403573989868164,0,25,0,0,0,,1,0,0,
f1_closure_dur_low_f0,0.002833843231201172,0,25,0,0,0,,1,1,0,
f1_closure_dur_low_f0,0.00040858983993530273,0,25,0,1,0,,1,0,0,
f1_closure_dur_low_f0,0.0007115602493286133,0,25,0,1,0,,1,1,0,
f1_closure_dur_low_f0,0.0014260411262512207,0,25,1,0,0,,1,1,0,
f1_closure_dur_high_f0,0.0034276843070983887,0,25,1,1,1,,0,0,1,
f1_closure_dur_high_f0,0.0010867714881896973,0,25,1,1,1,,0,1,1,
f1_closure_dur_high_f0,0.0014895796775817871,0,25,1,1,1,,1,0,1,
f1_closure_dur_high_f0,0.0007628202438354492,0,25,0,0,1,,0,1,1,
f1_closure_dur_high_f0,0.0006743073463439941,0,25,0,0,1,,1,0,1,
f1_closure_dur_high_f0,0.00041621923446655273,0,25,0,1,1,,1,0,1,
f0_voicing_dur,0.00021123886108398438,1,25,,,0,1,,,1,0
f0_voicing_dur,2.980232238769531e-07,0,25,,,0,1,,,0,0
f0_voicing_dur,8.70823860168457e-05,0,25,,,0,1,,,1,1
f0_voicing_dur,0.00020891427993774414,0,25,,,1,0,,,0,0
f0_voicing_dur,8.589029312133789e-05,0,25,,,1,0,,,1,1
f0_voicing_dur,8.618831634521484e-05,1,25,,,0,0,,,1,1
f0_closure_dur_low_f1,0.00037556886672973633,0,25,0,0,0,,0,1,1,
f0_closure_dur_low_f1,0.000743865966796875,0,25,0,0,0,,0,1,0,
f0_closure_dur_low_f1,0.0001748800277709961,0,25,0,0,0,,0,0,1,
f0_closure_dur_low_f1,0.00014287233352661133,0,25,0,1,1,,0,1,0,
f0_closure_dur_low_f1,0.0007628202438354492,0,25,0,1,1,,0,0,1,
f0_closure_dur_low_f1,0.00141143798828125,0,25,0,1,0,,0,0,1,
f0_closure_dur_high_f1,0.0011386275291442871,0,25,1,0,0,,1,1,1,
f0_closure_dur_high_f1,0.0005203485488891602,0,25,1,0,0,,1,0,1,
f0_closure_dur_high_f1,0.003147423267364502,0,25,1,0,0,,1,1,0,
f0_closure_dur_high_f1,0.0014895796775817871,0,25,1,1,1,,1,0,1,
f0_closure_dur_high_f1,0.0010176301002502441,0,25,1,1,1,,1,1,0,
f0_closure_dur_high_f1,0.0045958757400512695,0,25,1,0,1,,1,1,0,
