Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_Closure,stim1_voicing,stim1_F1,stim2_f0,stim2_Closure,stim2_voicing,stim2_F1
f1_voicing_dur,0.0009769797325134277,0,26,,,0,0,,,0,1
f1_voicing_dur,0.0010303854942321777,1,26,,,0,0,,,1,1
f1_voicing_dur,2.5093555450439453e-05,0,26,,,0,0,,,1,0
f1_voicing_dur,7.224082946777344e-05,0,26,,,0,1,,,1,1
f1_voicing_dur,0.001000046730041504,1,26,,,0,1,,,1,0
f1_voicing_dur,0.0010035037994384766,0,26,,,1,1,,,1,0
f1_closure_dur_low_f0,0.0003815889358520508,0,26,0,0,,0,0,1,,0
f1_closure_dur_low_f0,0.0004125833511352539,0,26,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.0013616681098937988,0,26,0,0,,0,0,1,,1
f1_closure_dur_low_f0,0.00043785572052001953,0,26,0,1,,0,0,0,,1
f1_closure_dur_low_f0,0.00041663646697998047,0,26,0,1,,0,0,1,,1
f1_closure_dur_low_f0,0.0007917284965515137,0,26,0,0,,1,0,1,,1
f1_closure_dur_high_f0,0.0017945170402526855,0,26,1,1,,1,1,0,,0
f1_closure_dur_high_f0,0.0007420182228088379,0,26,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.0007336139678955078,0,26,1,1,,1,1,0,,1
f1_closure_dur_high_f0,0.0004418492317199707,0,26,1,0,,0,1,1,,0
f1_closure_dur_high_f0,0.0005661249160766602,0,26,1,0,,0,1,0,,1
f1_closure_dur_high_f0,0.0005947351455688477,0,26,1,1,,0,1,0,,1
f0_voicing_dur,0.00011801719665527344,1,26,0,,1,,1,,0,
f0_voicing_dur,1.7881393432617188e-07,0,26,0,,1,,0,,0,
f0_voicing_dur,0.0001456141471862793,0,26,0,,1,,1,,1,
f0_voicing_dur,0.00011670589447021484,0,26,1,,0,,0,,0,
f0_voicing_dur,7.969141006469727e-05,0,26,1,,0,,1,,1,
f0_voicing_dur,0.00014668703079223633,1,26,0,,0,,1,,1,
f0_closure_dur_low_f1,0.0002022385597229004,0,26,0,0,,0,1,1,,0
f0_closure_dur_low_f1,0.0003317594528198242,0,26,0,0,,0,0,1,,0
f0_closure_dur_low_f1,0.0001888871192932129,0,26,0,0,,0,1,0,,0
f0_closure_dur_low_f1,0.0001296401023864746,0,26,1,1,,0,0,1,,0
f0_closure_dur_low_f1,0.0004418492317199707,0,26,1,1,,0,1,0,,0
f0_closure_dur_low_f1,0.0008075833320617676,0,26,0,1,,0,1,0,,0
f0_closure_dur_high_f1,0.000803530216217041,0,26,0,0,,1,1,1,,1
f0_closure_dur_high_f1,0.0005013942718505859,0,26,0,0,,1,1,0,,1
f0_closure_dur_high_f1,0.0017778277397155762,0,26,0,0,,1,0,1,,1
f0_closure_dur_high_f1,0.0007336139678955078,0,26,1,1,,1,1,0,,1
f0_closure_dur_high_f1,0.0007289648056030273,0,26,1,1,,1,0,1,,1
f0_closure_dur_high_f1,0.002543807029724121,0,26,1,0,,1,0,1,,1
