Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_Closure,stim1_F1,stim1_voicing,stim2_f0,stim2_Closure,stim2_F1,stim2_voicing
f1_voicing_dur,0.0011952519416809082,0,30,,,0,0,,,1,0
f1_voicing_dur,0.0013256669044494629,1,30,,,0,0,,,1,1
f1_voicing_dur,1.0669231414794922e-05,0,30,,,0,0,,,0,1
f1_voicing_dur,2.8252601623535156e-05,0,30,,,1,0,,,1,1
f1_voicing_dur,0.0011900663375854492,1,30,,,1,0,,,0,1
f1_voicing_dur,0.0012972354888916016,0,30,,,1,1,,,0,1
f1_closure_dur_low_f0,0.0006115436553955078,0,30,0,0,0,,0,1,0,
f1_closure_dur_low_f0,0.0002727508544921875,0,30,0,0,0,,0,0,1,
f1_closure_dur_low_f0,0.0019941329956054688,0,30,0,0,0,,0,1,1,
f1_closure_dur_low_f0,0.00029152631759643555,0,30,0,1,0,,0,0,1,
f1_closure_dur_low_f0,0.0004439353942871094,0,30,0,1,0,,0,1,1,
f1_closure_dur_low_f0,0.0010709762573242188,0,30,0,0,1,,0,1,1,
f1_closure_dur_high_f0,0.002427816390991211,0,30,1,1,1,,1,0,0,
f1_closure_dur_high_f0,0.0007574558258056641,0,30,1,1,1,,1,1,0,
f1_closure_dur_high_f0,0.0011211037635803223,0,30,1,1,1,,1,0,1,
f1_closure_dur_high_f0,0.0005598068237304688,0,30,1,0,0,,1,1,0,
f1_closure_dur_high_f0,0.0004061460494995117,0,30,1,0,0,,1,0,1,
f1_closure_dur_high_f0,0.00029397010803222656,0,30,1,1,0,,1,0,1,
f0_voicing_dur,5.692243576049805e-05,1,30,0,,,1,1,,,0
f0_voicing_dur,1.7881393432617188e-07,0,30,0,,,1,0,,,0
f0_voicing_dur,4.100799560546875e-05,0,30,0,,,1,1,,,1
f0_voicing_dur,5.692243576049805e-05,0,30,1,,,0,0,,,0
f0_voicing_dur,4.6133995056152344e-05,0,30,1,,,0,1,,,1
f0_voicing_dur,4.1425228118896484e-05,1,30,0,,,0,1,,,1
f0_closure_dur_low_f1,0.0002511143684387207,0,30,0,0,0,,1,1,0,
f0_closure_dur_low_f1,0.000514686107635498,0,30,0,0,0,,0,1,0,
f0_closure_dur_low_f1,0.00017064809799194336,0,30,0,0,0,,1,0,0,
f0_closure_dur_low_f1,0.00014269351959228516,0,30,1,1,0,,0,1,0,
f0_closure_dur_low_f1,0.0005598068237304688,0,30,1,1,0,,1,0,0,
f0_closure_dur_low_f1,0.0011178851127624512,0,30,0,1,0,,1,0,0,
f0_closure_dur_high_f1,0.0007295012474060059,0,30,0,0,1,,1,1,1,
f0_closure_dur_high_f1,0.00040775537490844727,0,30,0,0,1,,1,0,1,
f0_closure_dur_high_f1,0.0022908449172973633,0,30,0,0,1,,0,1,1,
f0_closure_dur_high_f1,0.0011211037635803223,0,30,1,1,1,,1,0,1,
f0_closure_dur_high_f1,0.0007548332214355469,0,30,1,1,1,,0,1,1,
f0_closure_dur_high_f1,0.003472626209259033,0,30,1,0,1,,0,1,1,
