Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_Closure,stim1_F1,stim1_f0,stim2_voicing,stim2_Closure,stim2_F1,stim2_f0
f1_voicing_dur,0.0023796558380126953,0,31,0,,0,,0,,1,
f1_voicing_dur,0.0023221969604492188,1,31,0,,0,,1,,1,
f1_voicing_dur,7.390975952148438e-05,0,31,0,,0,,1,,0,
f1_voicing_dur,9.393692016601562e-05,0,31,0,,1,,1,,1,
f1_voicing_dur,0.0025358200073242188,1,31,0,,1,,1,,0,
f1_voicing_dur,0.0024208426475524902,0,31,1,,1,,1,,0,
f1_closure_dur_low_f0,0.0011051297187805176,0,31,,0,0,0,,1,0,0
f1_closure_dur_low_f0,0.0006312131881713867,0,31,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.003694891929626465,0,31,,0,0,0,,1,1,0
f1_closure_dur_low_f0,0.0007676482200622559,0,31,,1,0,0,,0,1,0
f1_closure_dur_low_f0,0.0009714365005493164,0,31,,1,0,0,,1,1,0
f1_closure_dur_low_f0,0.0021446943283081055,0,31,,0,1,0,,1,1,0
f1_closure_dur_high_f0,0.004621744155883789,0,31,,1,1,1,,0,0,1
f1_closure_dur_high_f0,0.0015180706977844238,0,31,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.0017881393432617188,0,31,,1,1,1,,0,1,1
f1_closure_dur_high_f0,0.0011090636253356934,0,31,,0,0,1,,1,0,1
f1_closure_dur_high_f0,0.0011976957321166992,0,31,,0,0,1,,0,1,1
f1_closure_dur_high_f0,0.0008202791213989258,0,31,,1,0,1,,0,1,1
f0_voicing_dur,0.00039398670196533203,1,31,1,,,0,0,,,1
f0_voicing_dur,7.152557373046875e-07,0,31,1,,,0,0,,,0
f0_voicing_dur,0.0002999305725097656,0,31,1,,,0,1,,,1
f0_voicing_dur,0.00039207935333251953,0,31,0,,,1,0,,,0
f0_voicing_dur,0.00019633769989013672,0,31,0,,,1,1,,,1
f0_voicing_dur,0.0002987980842590332,1,31,0,,,0,1,,,1
f0_closure_dur_low_f1,0.0004291534423828125,0,31,,0,0,0,,1,0,1
f0_closure_dur_low_f1,0.0008780956268310547,0,31,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.00034940242767333984,0,31,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.00020951032638549805,0,31,,1,0,1,,1,0,0
f0_closure_dur_low_f1,0.0011090636253356934,0,31,,1,0,1,,0,0,1
f0_closure_dur_low_f1,0.002005457878112793,0,31,,1,0,0,,0,0,1
f0_closure_dur_high_f1,0.0010393261909484863,0,31,,0,1,0,,1,1,1
f0_closure_dur_high_f1,0.0008627176284790039,0,31,,0,1,0,,0,1,1
f0_closure_dur_high_f1,0.0038813352584838867,0,31,,0,1,0,,1,1,0
f0_closure_dur_high_f1,0.0017881393432617188,0,31,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.0016939640045166016,0,31,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.006444990634918213,0,31,,0,1,1,,1,1,0
