Experiment,Distance,Diagonal?,Trial,stim1_F1,stim1_f0,stim1_voicing,stim1_Closure,stim2_F1,stim2_f0,stim2_voicing,stim2_Closure
f1_voicing_dur,0.0027003884315490723,0,33,0,,0,,1,,0,
f1_voicing_dur,0.0026584863662719727,1,33,0,,0,,1,,1,
f1_voicing_dur,1.0907649993896484e-05,0,33,0,,0,,0,,1,
f1_voicing_dur,4.655122756958008e-05,0,33,1,,0,,1,,1,
f1_voicing_dur,0.002776801586151123,1,33,1,,0,,0,,1,
f1_voicing_dur,0.002706170082092285,0,33,1,,1,,0,,1,
f1_closure_dur_low_f0,0.001023411750793457,0,33,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.000595390796661377,0,33,0,0,,0,1,0,,0
f1_closure_dur_low_f0,0.0037298202514648438,0,33,0,0,,0,1,0,,1
f1_closure_dur_low_f0,0.000658571720123291,0,33,0,0,,1,1,0,,0
f1_closure_dur_low_f0,0.00103837251663208,0,33,0,0,,1,1,0,,1
f1_closure_dur_low_f0,0.002042531967163086,0,33,1,0,,0,1,0,,1
f1_closure_dur_high_f0,0.0043637752532958984,0,33,1,1,,1,0,1,,0
f1_closure_dur_high_f0,0.0012745857238769531,0,33,1,1,,1,0,1,,1
f1_closure_dur_high_f0,0.0017799139022827148,0,33,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.0010616779327392578,0,33,0,1,,0,0,1,,1
f1_closure_dur_high_f0,0.000845491886138916,0,33,0,1,,0,1,1,,0
f1_closure_dur_high_f0,0.0004324913024902344,0,33,0,1,,1,1,1,,0
f0_voicing_dur,0.0001429915428161621,1,33,,0,1,,,1,0,
f0_voicing_dur,2.980232238769531e-07,0,33,,0,1,,,0,0,
f0_voicing_dur,0.00016623735427856445,0,33,,0,1,,,1,1,
f0_voicing_dur,0.00014162063598632812,0,33,,1,0,,,0,0,
f0_voicing_dur,0.0001023411750793457,0,33,,1,0,,,1,1,
f0_voicing_dur,0.00016111135482788086,1,33,,0,0,,,1,1,
f0_closure_dur_low_f1,0.00039714574813842773,0,33,0,0,,0,0,1,,1
f0_closure_dur_low_f1,0.0009037256240844727,0,33,0,0,,0,0,0,,1
f0_closure_dur_low_f1,0.00029021501541137695,0,33,0,0,,0,0,1,,0
f0_closure_dur_low_f1,0.00020432472229003906,0,33,0,1,,1,0,0,,1
f0_closure_dur_low_f1,0.0010616779327392578,0,33,0,1,,1,0,1,,0
f0_closure_dur_low_f1,0.002008497714996338,0,33,0,0,,1,0,1,,0
f0_closure_dur_high_f1,0.0011988282203674316,0,33,1,0,,0,1,1,,1
f0_closure_dur_high_f1,0.001029670238494873,0,33,1,0,,0,1,1,,0
f0_closure_dur_high_f1,0.004095911979675293,0,33,1,0,,0,1,0,,1
f0_closure_dur_high_f1,0.0017799139022827148,0,33,1,1,,1,1,1,,0
f0_closure_dur_high_f1,0.0016736984252929688,0,33,1,1,,1,1,0,,1
f0_closure_dur_high_f1,0.006559967994689941,0,33,1,1,,0,1,0,,1
