Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_f0,stim1_Closure,stim1_F1,stim2_voicing,stim2_f0,stim2_Closure,stim2_F1
f1_voicing_dur,0.0021004676818847656,0,38,0,,,0,0,,,1
f1_voicing_dur,0.002286195755004883,1,38,0,,,0,1,,,1
f1_voicing_dur,4.83393669128418e-05,0,38,0,,,0,1,,,0
f1_voicing_dur,0.00013047456741333008,0,38,0,,,1,1,,,1
f1_voicing_dur,0.0020254850387573242,1,38,0,,,1,1,,,0
f1_voicing_dur,0.002113044261932373,0,38,1,,,1,1,,,0
f1_closure_dur_low_f0,0.0006310343742370605,0,38,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.0006385445594787598,0,38,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.002458810806274414,0,38,,0,0,0,,0,1,1
f1_closure_dur_low_f0,0.0006172060966491699,0,38,,0,1,0,,0,0,1
f1_closure_dur_low_f0,0.0007356405258178711,0,38,,0,1,0,,0,1,1
f1_closure_dur_low_f0,0.0013476014137268066,0,38,,0,0,1,,0,1,1
f1_closure_dur_high_f0,0.003128349781036377,0,38,,1,1,1,,1,0,0
f1_closure_dur_high_f0,0.0011945366859436035,0,38,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.001392066478729248,0,38,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.0006874799728393555,0,38,,1,0,0,,1,1,0
f1_closure_dur_high_f0,0.0007548928260803223,0,38,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.0006704330444335938,0,38,,1,1,0,,1,0,1
f0_voicing_dur,0.0001303553581237793,1,38,1,0,,,0,1,,
f0_voicing_dur,2.384185791015625e-07,0,38,1,0,,,0,0,,
f0_voicing_dur,0.0001780986785888672,0,38,1,0,,,1,1,,
f0_voicing_dur,0.00012564659118652344,0,38,0,1,,,0,0,,
f0_voicing_dur,0.00016230344772338867,0,38,0,1,,,1,1,,
f0_voicing_dur,0.0001767873764038086,1,38,0,0,,,1,1,,
f0_closure_dur_low_f1,0.00028401613235473633,0,38,,0,0,0,,1,1,0
f0_closure_dur_low_f1,0.0006676316261291504,0,38,,0,0,0,,0,1,0
f0_closure_dur_low_f1,0.0002644658088684082,0,38,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.0002167224884033203,0,38,,1,1,0,,0,1,0
f0_closure_dur_low_f1,0.0006874799728393555,0,38,,1,1,0,,1,0,0
f0_closure_dur_low_f1,0.0014531612396240234,0,38,,0,1,0,,1,0,0
f0_closure_dur_high_f1,0.0012123584747314453,0,38,,0,0,1,,1,1,1
f0_closure_dur_high_f1,0.0010710358619689941,0,38,,0,0,1,,1,0,1
f0_closure_dur_high_f1,0.0029889941215515137,0,38,,0,0,1,,0,1,1
f0_closure_dur_high_f1,0.001392066478729248,0,38,,1,1,1,,1,0,1
f0_closure_dur_high_f1,0.001495361328125,0,38,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.005076229572296143,0,38,,1,0,1,,0,1,1
