Experiment,Distance,Diagonal?,Trial,stim1_Closure,stim1_voicing,stim1_F1,stim1_f0,stim2_Closure,stim2_voicing,stim2_F1,stim2_f0
f1_voicing_dur,0.003971874713897705,0,43,,0,0,,,0,1,
f1_voicing_dur,0.004234135150909424,1,43,,0,0,,,1,1,
f1_voicing_dur,0.00010591745376586914,0,43,,0,0,,,1,0,
f1_voicing_dur,0.0002002120018005371,0,43,,0,1,,,1,1,
f1_voicing_dur,0.0036901235580444336,1,43,,0,1,,,1,0,
f1_voicing_dur,0.003772914409637451,0,43,,1,1,,,1,0,
f1_closure_dur_low_f0,0.0013492107391357422,0,43,0,,0,0,1,,0,0
f1_closure_dur_low_f0,0.0011522173881530762,0,43,0,,0,0,0,,1,0
f1_closure_dur_low_f0,0.004409372806549072,0,43,0,,0,0,1,,1,0
f1_closure_dur_low_f0,0.0008538365364074707,0,43,1,,0,0,0,,1,0
f1_closure_dur_low_f0,0.0012285709381103516,0,43,1,,0,0,1,,1,0
f1_closure_dur_low_f0,0.001955270767211914,0,43,0,,1,0,1,,1,0
f1_closure_dur_high_f0,0.004923224449157715,0,43,1,,1,1,0,,0,1
f1_closure_dur_high_f0,0.0018349885940551758,0,43,1,,1,1,1,,0,1
f1_closure_dur_high_f0,0.0016238689422607422,0,43,1,,1,1,0,,1,1
f1_closure_dur_high_f0,0.0011307001113891602,0,43,0,,0,1,1,,0,1
f1_closure_dur_high_f0,0.0015091300010681152,0,43,0,,0,1,0,,1,1
f1_closure_dur_high_f0,0.0009725689888000488,0,43,1,,0,1,0,,1,1
f0_voicing_dur,0.00037413835525512695,1,43,,1,,0,,0,,1
f0_voicing_dur,8.344650268554688e-07,0,43,,1,,0,,0,,0
f0_voicing_dur,0.0003520846366882324,0,43,,1,,0,,1,,1
f0_voicing_dur,0.00036913156509399414,0,43,,0,,1,,0,,0
f0_voicing_dur,0.00027257204055786133,0,43,,0,,1,,1,,1
f0_voicing_dur,0.00035053491592407227,1,43,,0,,0,,1,,1
f0_closure_dur_low_f1,0.0005143880844116211,0,43,0,,0,0,1,,0,1
f0_closure_dur_low_f1,0.0009850263595581055,0,43,0,,0,0,1,,0,0
f0_closure_dur_low_f1,0.0004073977470397949,0,43,0,,0,0,0,,0,1
f0_closure_dur_low_f1,0.0003235936164855957,0,43,1,,0,1,1,,0,0
f0_closure_dur_low_f1,0.0011307001113891602,0,43,1,,0,1,0,,0,1
f0_closure_dur_low_f1,0.0021902918815612793,0,43,1,,0,0,0,,0,1
f0_closure_dur_high_f1,0.0014401078224182129,0,43,0,,1,0,1,,1,1
f0_closure_dur_high_f1,0.0014891624450683594,0,43,0,,1,0,0,,1,1
f0_closure_dur_high_f1,0.004011690616607666,0,43,0,,1,0,1,,1,0
f0_closure_dur_high_f1,0.0016238689422607422,0,43,1,,1,1,0,,1,1
f0_closure_dur_high_f1,0.0020756125450134277,0,43,1,,1,1,1,,1,0
f0_closure_dur_high_f1,0.006617188453674316,0,43,0,,1,1,1,,1,0
