Experiment,Distance,Diagonal?,Trial,stim1_Closure,stim1_f0,stim1_voicing,stim1_F1,stim2_Closure,stim2_f0,stim2_voicing,stim2_F1
f1_voicing_dur,0.0017969608306884766,0,45,,,0,0,,,0,1
f1_voicing_dur,0.0018917322158813477,1,45,,,0,0,,,1,1
f1_voicing_dur,1.7881393432617188e-05,0,45,,,0,0,,,1,0
f1_voicing_dur,3.981590270996094e-05,0,45,,,0,1,,,1,1
f1_voicing_dur,0.0018107891082763672,1,45,,,0,1,,,1,0
f1_voicing_dur,0.0018807053565979004,0,45,,,1,1,,,1,0
f1_closure_dur_low_f0,0.0007443428039550781,0,45,0,0,,0,1,0,,0
f1_closure_dur_low_f0,0.0004115104675292969,0,45,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.0026694536209106445,0,45,0,0,,0,1,0,,1
f1_closure_dur_low_f0,0.00042557716369628906,0,45,1,0,,0,0,0,,1
f1_closure_dur_low_f0,0.0006980299949645996,0,45,1,0,,0,1,0,,1
f1_closure_dur_low_f0,0.0014249086380004883,0,45,0,0,,1,1,0,,1
f1_closure_dur_high_f0,0.003526926040649414,0,45,1,1,,1,0,1,,0
f1_closure_dur_high_f0,0.0010499358177185059,0,45,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.0015573501586914062,0,45,1,1,,1,0,1,,1
f1_closure_dur_high_f0,0.0009309053421020508,0,45,0,1,,0,1,1,,0
f1_closure_dur_high_f0,0.0007032155990600586,0,45,0,1,,0,0,1,,1
f1_closure_dur_high_f0,0.0005821585655212402,0,45,1,1,,0,0,1,,1
f0_voicing_dur,0.00010848045349121094,1,45,,0,1,,,1,0,
f0_voicing_dur,2.384185791015625e-07,0,45,,0,1,,,0,0,
f0_voicing_dur,0.00010526180267333984,0,45,,0,1,,,1,1,
f0_voicing_dur,0.00010728836059570312,0,45,,1,0,,,0,0,
f0_voicing_dur,7.62939453125e-05,0,45,,1,0,,,1,1,
f0_voicing_dur,0.0001042485237121582,1,45,,0,0,,,1,1,
f0_closure_dur_low_f1,0.0004017353057861328,0,45,0,0,,0,1,1,,0
f0_closure_dur_low_f1,0.0006823539733886719,0,45,0,0,,0,1,0,,0
f0_closure_dur_low_f1,0.00022804737091064453,0,45,0,0,,0,0,1,,0
f0_closure_dur_low_f1,0.00010848045349121094,0,45,1,1,,0,1,0,,0
f0_closure_dur_low_f1,0.0009309053421020508,0,45,1,1,,0,0,1,,0
f0_closure_dur_low_f1,0.0014846324920654297,0,45,1,0,,0,0,1,,0
f0_closure_dur_high_f1,0.0009630918502807617,0,45,0,0,,1,1,1,,1
f0_closure_dur_high_f1,0.0005005002021789551,0,45,0,0,,1,0,1,,1
f0_closure_dur_high_f1,0.0031769275665283203,0,45,0,0,,1,1,0,,1
f0_closure_dur_high_f1,0.0015573501586914062,0,45,1,1,,1,0,1,,1
f0_closure_dur_high_f1,0.0010361671447753906,0,45,1,1,,1,1,0,,1
f0_closure_dur_high_f1,0.004835963249206543,0,45,0,1,,1,1,0,,1
