Experiment,Distance,Diagonal?,Trial,stim1_Closure,stim1_F1,stim1_f0,stim1_voicing,stim2_Closure,stim2_F1,stim2_f0,stim2_voicing
f1_voicing_dur,0.0025739073753356934,0,47,,0,,0,,1,,0
f1_voicing_dur,0.0028281807899475098,1,47,,0,,0,,1,,1
f1_voicing_dur,5.549192428588867e-05,0,47,,0,,0,,0,,1
f1_voicing_dur,0.0001360774040222168,0,47,,1,,0,,1,,1
f1_voicing_dur,0.0027640461921691895,1,47,,1,,0,,0,,1
f1_voicing_dur,0.0029363036155700684,0,47,,1,,1,,0,,1
f1_closure_dur_low_f0,0.0006843805313110352,0,47,0,0,0,,1,0,0,
f1_closure_dur_low_f0,0.000574946403503418,0,47,0,0,0,,0,1,0,
f1_closure_dur_low_f0,0.002172231674194336,0,47,0,0,0,,1,1,0,
f1_closure_dur_low_f0,0.0005644559860229492,0,47,1,0,0,,0,1,0,
f1_closure_dur_low_f0,0.0005645155906677246,0,47,1,0,0,,1,1,0,
f1_closure_dur_low_f0,0.0011869072914123535,0,47,0,1,0,,1,1,0,
f1_closure_dur_high_f0,0.0029772520065307617,0,47,1,1,1,,0,0,1,
f1_closure_dur_high_f0,0.0011282563209533691,0,47,1,1,1,,1,0,1,
f1_closure_dur_high_f0,0.0009045600891113281,0,47,1,1,1,,0,1,1,
f1_closure_dur_high_f0,0.0007579326629638672,0,47,0,0,1,,1,0,1,
f1_closure_dur_high_f0,0.001073300838470459,0,47,0,0,1,,0,1,1,
f1_closure_dur_high_f0,0.0007694363594055176,0,47,1,0,1,,0,1,1,
f0_voicing_dur,0.0002161860466003418,1,47,,,0,1,,,1,0
f0_voicing_dur,5.364418029785156e-07,0,47,,,0,1,,,0,0
f0_voicing_dur,0.00027310848236083984,0,47,,,0,1,,,1,1
f0_voicing_dur,0.00021451711654663086,0,47,,,1,0,,,0,0
f0_voicing_dur,0.00016242265701293945,0,47,,,1,0,,,1,1
f0_voicing_dur,0.0002745985984802246,1,47,,,0,0,,,1,1
f0_closure_dur_low_f1,0.00033086538314819336,0,47,0,0,0,,1,0,1,
f0_closure_dur_low_f1,0.0004757046699523926,0,47,0,0,0,,1,0,0,
f0_closure_dur_low_f1,0.0003510713577270508,0,47,0,0,0,,0,0,1,
f0_closure_dur_low_f1,0.00014060735702514648,0,47,1,0,1,,1,0,0,
f0_closure_dur_low_f1,0.0007579326629638672,0,47,1,0,1,,0,0,1,
f0_closure_dur_low_f1,0.001219630241394043,0,47,1,0,0,,0,0,1,
f0_closure_dur_high_f1,0.0009940862655639648,0,47,0,1,0,,1,1,1,
f0_closure_dur_high_f1,0.0006794929504394531,0,47,0,1,0,,0,1,1,
f0_closure_dur_high_f1,0.0026973485946655273,0,47,0,1,0,,1,1,0,
f0_closure_dur_high_f1,0.0009045600891113281,0,47,1,1,1,,0,1,1,
f0_closure_dur_high_f1,0.0011770129203796387,0,47,1,1,1,,1,1,0,
f0_closure_dur_high_f1,0.0036363601684570312,0,47,0,1,1,,1,1,0,
