Experiment,Distance,Diagonal?,Trial,stim1_Closure,stim1_f0,stim1_F1,stim1_voicing,stim2_Closure,stim2_f0,stim2_F1,stim2_voicing
f1_voicing_dur,0.0017687082290649414,0,4,,,0,0,,,1,0
f1_voicing_dur,0.0018967986106872559,1,4,,,0,0,,,1,1
f1_voicing_dur,1.1205673217773438e-05,0,4,,,0,0,,,0,1
f1_voicing_dur,2.300739288330078e-05,0,4,,,1,0,,,1,1
f1_voicing_dur,0.0016977787017822266,1,4,,,1,0,,,0,1
f1_voicing_dur,0.0018077492713928223,0,4,,,1,1,,,0,1
f1_closure_dur_low_f0,0.0007044672966003418,0,4,0,0,0,,1,0,0,
f1_closure_dur_low_f0,0.0005218386650085449,0,4,0,0,0,,0,0,1,
f1_closure_dur_low_f0,0.0026375651359558105,0,4,0,0,0,,1,0,1,
f1_closure_dur_low_f0,0.00039827823638916016,0,4,1,0,0,,0,0,1,
f1_closure_dur_low_f0,0.0007215738296508789,0,4,1,0,0,,1,0,1,
f1_closure_dur_low_f0,0.001247406005859375,0,4,0,0,1,,1,0,1,
f1_closure_dur_high_f0,0.003257274627685547,0,4,1,1,1,,0,1,0,
f1_closure_dur_high_f0,0.0010238885879516602,0,4,1,1,1,,1,1,0,
f1_closure_dur_high_f0,0.0012886524200439453,0,4,1,1,1,,0,1,1,
f1_closure_dur_high_f0,0.000774085521697998,0,4,0,1,0,,1,1,0,
f1_closure_dur_high_f0,0.000748753547668457,0,4,0,1,0,,0,1,1,
f1_closure_dur_high_f0,0.00045800209045410156,0,4,1,1,0,,0,1,1,
f0_voicing_dur,9.822845458984375e-05,1,4,,0,,1,,1,,0
f0_voicing_dur,4.172325134277344e-07,0,4,,0,,1,,0,,0
f0_voicing_dur,9.173154830932617e-05,0,4,,0,,1,,1,,1
f0_voicing_dur,9.673833847045898e-05,0,4,,1,,0,,0,,0
f0_voicing_dur,3.9577484130859375e-05,0,4,,1,,0,,1,,1
f0_voicing_dur,9.018182754516602e-05,1,4,,0,,0,,1,,1
f0_closure_dur_low_f1,0.00027757883071899414,0,4,0,0,0,,1,1,0,
f0_closure_dur_low_f1,0.0005417466163635254,0,4,0,0,0,,1,0,0,
f0_closure_dur_low_f1,0.0002167820930480957,0,4,0,0,0,,0,1,0,
f0_closure_dur_low_f1,0.00011277198791503906,0,4,1,1,0,,1,0,0,
f0_closure_dur_low_f1,0.000774085521697998,0,4,1,1,0,,0,1,0,
f0_closure_dur_low_f1,0.0013115406036376953,0,4,1,0,0,,0,1,0,
f0_closure_dur_high_f1,0.0008130073547363281,0,4,0,0,1,,1,1,1,
f0_closure_dur_high_f1,0.0005210638046264648,0,4,0,0,1,,0,1,1,
f0_closure_dur_high_f1,0.002672135829925537,0,4,0,0,1,,1,0,1,
f0_closure_dur_high_f1,0.0012886524200439453,0,4,1,1,1,,0,1,1,
f0_closure_dur_high_f1,0.0011156201362609863,0,4,1,1,1,,1,0,1,
f0_closure_dur_high_f1,0.0044615864753723145,0,4,0,1,1,,1,0,1,
