Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_F1,stim1_f0,stim1_Closure,stim2_voicing,stim2_F1,stim2_f0,stim2_Closure
f1_voicing_dur,0.0018528103828430176,0,50,0,0,,,0,1,,
f1_voicing_dur,0.001748502254486084,1,50,0,0,,,1,1,,
f1_voicing_dur,8.165836334228516e-06,0,50,0,0,,,1,0,,
f1_voicing_dur,2.1278858184814453e-05,0,50,0,1,,,1,1,,
f1_voicing_dur,0.0019081830978393555,1,50,0,1,,,1,0,,
f1_voicing_dur,0.001790165901184082,0,50,1,1,,,1,0,,
f1_closure_dur_low_f0,0.0006570219993591309,0,50,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.0004413723945617676,0,50,,0,0,0,,1,0,0
f1_closure_dur_low_f0,0.0026065707206726074,0,50,,0,0,0,,1,0,1
f1_closure_dur_low_f0,0.0004233121871948242,0,50,,0,0,1,,1,0,0
f1_closure_dur_low_f0,0.000760495662689209,0,50,,0,0,1,,1,0,1
f1_closure_dur_low_f0,0.0013622045516967773,0,50,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.0033388137817382812,0,50,,1,1,1,,0,1,0
f1_closure_dur_high_f0,0.0010445117950439453,0,50,,1,1,1,,0,1,1
f1_closure_dur_high_f0,0.0012793540954589844,0,50,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.0007500648498535156,0,50,,0,1,0,,0,1,1
f1_closure_dur_high_f0,0.0007457733154296875,0,50,,0,1,0,,1,1,0
f1_closure_dur_high_f0,0.00036960840225219727,0,50,,0,1,1,,1,1,0
f0_voicing_dur,0.0001335740089416504,1,50,1,,0,,0,,1,
f0_voicing_dur,2.384185791015625e-07,0,50,1,,0,,0,,0,
f0_voicing_dur,0.00012004375457763672,0,50,1,,0,,1,,1,
f0_voicing_dur,0.0001278519630432129,0,50,0,,1,,0,,0,
f0_voicing_dur,5.4895877838134766e-05,0,50,0,,1,,1,,1,
f0_voicing_dur,0.00011479854583740234,1,50,0,,0,,1,,1,
f0_closure_dur_low_f1,0.0003867149353027344,0,50,,0,0,0,,0,1,1
f0_closure_dur_low_f1,0.0007485151290893555,0,50,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.0001157522201538086,0,50,,0,0,0,,0,1,0
f0_closure_dur_low_f1,9.590387344360352e-05,0,50,,0,1,1,,0,0,1
f0_closure_dur_low_f1,0.0007500648498535156,0,50,,0,1,1,,0,1,0
f0_closure_dur_low_f1,0.0013012886047363281,0,50,,0,0,1,,0,1,0
f0_closure_dur_high_f1,0.0009056925773620605,0,50,,1,0,0,,1,1,1
f0_closure_dur_high_f1,0.0003020167350769043,0,50,,1,0,0,,1,1,0
f0_closure_dur_high_f1,0.0033646225929260254,0,50,,1,0,0,,1,0,1
f0_closure_dur_high_f1,0.0012793540954589844,0,50,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.0010880827903747559,0,50,,1,1,1,,1,0,1
f0_closure_dur_high_f1,0.0045174360275268555,0,50,,1,1,0,,1,0,1
