Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_voicing,stim1_F1,stim1_Closure,stim2_f0,stim2_voicing,stim2_F1,stim2_Closure
f1_voicing_dur,0.002179384231567383,0,51,,0,0,,,0,1,
f1_voicing_dur,0.002291083335876465,1,51,,0,0,,,1,1,
f1_voicing_dur,4.094839096069336e-05,0,51,,0,0,,,1,0,
f1_voicing_dur,7.069110870361328e-05,0,51,,0,1,,,1,1,
f1_voicing_dur,0.0022255778312683105,1,51,,0,1,,,1,0,
f1_voicing_dur,0.002279520034790039,0,51,,1,1,,,1,0,
f1_closure_dur_low_f0,0.0010109543800354004,0,51,0,,0,0,0,,0,1
f1_closure_dur_low_f0,0.0005818009376525879,0,51,0,,0,0,0,,1,0
f1_closure_dur_low_f0,0.003122091293334961,0,51,0,,0,0,0,,1,1
f1_closure_dur_low_f0,0.0006694793701171875,0,51,0,,0,1,0,,1,0
f1_closure_dur_low_f0,0.0008363723754882812,0,51,0,,0,1,0,,1,1
f1_closure_dur_low_f0,0.0016066431999206543,0,51,0,,1,0,0,,1,1
f1_closure_dur_high_f0,0.004186093807220459,0,51,1,,1,1,1,,0,0
f1_closure_dur_high_f0,0.0012379288673400879,0,51,1,,1,1,1,,0,1
f1_closure_dur_high_f0,0.0014870762825012207,0,51,1,,1,1,1,,1,0
f1_closure_dur_high_f0,0.0011434555053710938,0,51,1,,0,0,1,,0,1
f1_closure_dur_high_f0,0.001003265380859375,0,51,1,,0,0,1,,1,0
f1_closure_dur_high_f0,0.0005741119384765625,0,51,1,,0,1,1,,1,0
f0_voicing_dur,0.00019949674606323242,1,51,0,1,,,1,0,,
f0_voicing_dur,5.364418029785156e-07,0,51,0,1,,,0,0,,
f0_voicing_dur,0.00023305416107177734,0,51,0,1,,,1,1,,
f0_voicing_dur,0.00019693374633789062,0,51,1,0,,,0,0,,
f0_voicing_dur,0.00012344121932983398,0,51,1,0,,,1,1,,
f0_voicing_dur,0.00023496150970458984,1,51,0,0,,,1,1,,
f0_closure_dur_low_f1,0.0003580451011657715,0,51,0,,0,0,1,,0,1
f0_closure_dur_low_f1,0.0007201433181762695,0,51,0,,0,0,0,,0,1
f0_closure_dur_low_f1,0.00042563676834106445,0,51,0,,0,0,1,,0,0
f0_closure_dur_low_f1,0.00017440319061279297,0,51,1,,0,1,0,,0,1
f0_closure_dur_low_f1,0.0011434555053710938,0,51,1,,0,1,1,,0,0
f0_closure_dur_low_f1,0.0019477605819702148,0,51,0,,0,1,1,,0,0
f0_closure_dur_high_f1,0.000728607177734375,0,51,0,,1,0,1,,1,1
f0_closure_dur_high_f1,0.0007058978080749512,0,51,0,,1,0,1,,1,0
f0_closure_dur_high_f1,0.002896547317504883,0,51,0,,1,0,0,,1,1
f0_closure_dur_high_f1,0.0014870762825012207,0,51,1,,1,1,1,,1,0
f0_closure_dur_high_f1,0.0013499855995178223,0,51,1,,1,1,0,,1,1
f0_closure_dur_high_f1,0.005251705646514893,0,51,1,,1,0,0,,1,1
