Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_f0,stim1_F1,stim1_Closure,stim2_voicing,stim2_f0,stim2_F1,stim2_Closure
f1_voicing_dur,0.001338362693786621,0,58,0,,0,,0,,1,
f1_voicing_dur,0.0015292167663574219,1,58,0,,0,,1,,1,
f1_voicing_dur,5.4776668548583984e-05,0,58,0,,0,,1,,0,
f1_voicing_dur,8.362531661987305e-05,0,58,0,,1,,1,,1,
f1_voicing_dur,0.001497030258178711,1,58,0,,1,,1,,0,
f1_voicing_dur,0.0016054511070251465,0,58,1,,1,,1,,0,
f1_closure_dur_low_f0,0.0006618499755859375,0,58,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.0004507899284362793,0,58,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.0021212100982666016,0,58,,0,0,0,,0,1,1
f1_closure_dur_low_f0,0.0005533099174499512,0,58,,0,0,1,,0,1,0
f1_closure_dur_low_f0,0.0005689263343811035,0,58,,0,0,1,,0,1,1
f1_closure_dur_low_f0,0.001149594783782959,0,58,,0,1,0,,0,1,1
f1_closure_dur_high_f0,0.0027843713760375977,0,58,,1,1,1,,1,0,0
f1_closure_dur_high_f0,0.0009610652923583984,0,58,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.0011660456657409668,0,58,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.00064849853515625,0,58,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.0006549358367919922,0,58,,1,0,0,,1,1,0
f1_closure_dur_high_f0,0.0005015134811401367,0,58,,1,0,1,,1,1,0
f0_voicing_dur,0.00013387203216552734,1,58,1,0,,,0,1,,
f0_voicing_dur,1.7881393432617188e-07,0,58,1,0,,,0,0,,
f0_voicing_dur,0.00013697147369384766,0,58,1,0,,,1,1,,
f0_voicing_dur,0.00013071298599243164,0,58,0,1,,,0,0,,
f0_voicing_dur,0.00010383129119873047,0,58,0,1,,,1,1,,
f0_voicing_dur,0.00013506412506103516,1,58,0,0,,,1,1,,
f0_closure_dur_low_f1,0.0002512931823730469,0,58,,0,0,0,,1,0,1
f0_closure_dur_low_f1,0.0005080103874206543,0,58,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.00023484230041503906,0,58,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.0001684427261352539,0,58,,1,0,1,,0,0,1
f0_closure_dur_low_f1,0.00064849853515625,0,58,,1,0,1,,1,0,0
f0_closure_dur_low_f1,0.0012385845184326172,0,58,,0,0,1,,1,0,0
f0_closure_dur_high_f1,0.0007500648498535156,0,58,,0,1,0,,1,1,1
f0_closure_dur_high_f1,0.0005521774291992188,0,58,,0,1,0,,1,1,0
f0_closure_dur_high_f1,0.00232774019241333,0,58,,0,1,0,,0,1,1
f0_closure_dur_high_f1,0.0011660456657409668,0,58,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.0009889006614685059,0,58,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.0039215087890625,0,58,,1,1,0,,0,1,1
