Experiment,Distance,Diagonal?,Trial,stim1_F1,stim1_voicing,stim1_Closure,stim1_f0,stim2_F1,stim2_voicing,stim2_Closure,stim2_f0
f1_voicing_dur,0.002398252487182617,0,59,0,0,,,1,0,,
f1_voicing_dur,0.0023719072341918945,1,59,0,0,,,1,1,,
f1_voicing_dur,7.987022399902344e-06,0,59,0,0,,,0,1,,
f1_voicing_dur,2.6941299438476562e-05,0,59,1,0,,,1,1,,
f1_voicing_dur,0.0023803114891052246,1,59,1,0,,,0,1,,
f1_voicing_dur,0.0023344755172729492,0,59,1,1,,,0,1,,
f1_closure_dur_low_f0,0.0010150671005249023,0,59,0,,0,0,0,,1,0
f1_closure_dur_low_f0,0.0005480051040649414,0,59,0,,0,0,1,,0,0
f1_closure_dur_low_f0,0.003415524959564209,0,59,0,,0,0,1,,1,0
f1_closure_dur_low_f0,0.0007582902908325195,0,59,0,,1,0,1,,0,0
f1_closure_dur_low_f0,0.0008884668350219727,0,59,0,,1,0,1,,1,0
f1_closure_dur_low_f0,0.001987636089324951,0,59,1,,0,0,1,,1,0
f1_closure_dur_high_f0,0.004128813743591309,0,59,1,,1,1,0,,0,1
f1_closure_dur_high_f0,0.0012655258178710938,0,59,1,,1,1,0,,1,1
f1_closure_dur_high_f0,0.0017498135566711426,0,59,1,,1,1,1,,0,1
f1_closure_dur_high_f0,0.00104522705078125,0,59,0,,0,1,0,,1,1
f1_closure_dur_high_f0,0.0008439421653747559,0,59,0,,0,1,1,,0,1
f1_closure_dur_high_f0,0.000634312629699707,0,59,0,,1,1,1,,0,1
f0_voicing_dur,7.891654968261719e-05,1,59,,1,,0,,0,,1
f0_voicing_dur,4.172325134277344e-07,0,59,,1,,0,,0,,0
f0_voicing_dur,6.937980651855469e-05,0,59,,1,,0,,1,,1
f0_voicing_dur,8.022785186767578e-05,0,59,,0,,1,,0,,0
f0_voicing_dur,7.051229476928711e-05,0,59,,0,,1,,1,,1
f0_voicing_dur,6.824731826782227e-05,1,59,,0,,0,,1,,1
f0_closure_dur_low_f1,0.0004451870918273926,0,59,0,,0,0,0,,1,1
f0_closure_dur_low_f1,0.0008084774017333984,0,59,0,,0,0,0,,1,0
f0_closure_dur_low_f1,0.0002676844596862793,0,59,0,,0,0,0,,0,1
f0_closure_dur_low_f1,0.00016999244689941406,0,59,0,,1,1,0,,1,0
f0_closure_dur_low_f1,0.00104522705078125,0,59,0,,1,1,0,,0,1
f0_closure_dur_low_f1,0.0018025636672973633,0,59,0,,1,0,0,,0,1
f0_closure_dur_high_f1,0.0012646317481994629,0,59,1,,0,0,1,,1,1
f0_closure_dur_high_f1,0.0005539655685424805,0,59,1,,0,0,1,,0,1
f0_closure_dur_high_f1,0.0040169358253479,0,59,1,,0,0,1,,1,0
f0_closure_dur_high_f1,0.0017498135566711426,0,59,1,,1,1,1,,0,1
f0_closure_dur_high_f1,0.0012739896774291992,0,59,1,,1,1,1,,1,0
f0_closure_dur_high_f1,0.005707740783691406,0,59,1,,0,1,1,,1,0
