Experiment,Distance,Diagonal?,Trial,stim1_F1,stim1_voicing,stim1_f0,stim1_Closure,stim2_F1,stim2_voicing,stim2_f0,stim2_Closure
f1_voicing_dur,0.0031539201736450195,0,64,0,0,,,1,0,,
f1_voicing_dur,0.003160715103149414,1,64,0,0,,,1,1,,
f1_voicing_dur,1.8537044525146484e-05,0,64,0,0,,,0,1,,
f1_voicing_dur,5.501508712768555e-05,0,64,1,0,,,1,1,,
f1_voicing_dur,0.0031734704971313477,1,64,1,0,,,0,1,,
f1_voicing_dur,0.0031440258026123047,0,64,1,1,,,0,1,,
f1_closure_dur_low_f0,0.0012221336364746094,0,64,0,,0,0,0,,0,1
f1_closure_dur_low_f0,0.0006147027015686035,0,64,0,,0,0,1,,0,0
f1_closure_dur_low_f0,0.00408095121383667,0,64,0,,0,0,1,,0,1
f1_closure_dur_low_f0,0.0008743405342102051,0,64,0,,0,1,1,,0,0
f1_closure_dur_low_f0,0.0010066628456115723,0,64,0,,0,1,1,,0,1
f1_closure_dur_low_f0,0.0025016069412231445,0,64,1,,0,0,1,,0,1
f1_closure_dur_high_f0,0.004965364933013916,0,64,1,,1,1,0,,1,0
f1_closure_dur_high_f0,0.0015011429786682129,0,64,1,,1,1,0,,1,1
f1_closure_dur_high_f0,0.0025154948234558105,0,64,1,,1,1,1,,1,0
f1_closure_dur_high_f0,0.0012364983558654785,0,64,0,,1,0,0,,1,1
f1_closure_dur_high_f0,0.0008851885795593262,0,64,0,,1,0,1,,1,0
f1_closure_dur_high_f0,0.0008664131164550781,0,64,0,,1,1,1,,1,0
f0_voicing_dur,0.00016361474990844727,1,64,,1,0,,,0,1,
f0_voicing_dur,4.172325134277344e-07,0,64,,1,0,,,0,0,
f0_voicing_dur,0.00014585256576538086,0,64,,1,0,,,1,1,
f0_voicing_dur,0.00015926361083984375,0,64,,0,1,,,0,0,
f0_voicing_dur,0.0001557469367980957,0,64,,0,1,,,1,1,
f0_voicing_dur,0.00014126300811767578,1,64,,0,0,,,1,1,
f0_closure_dur_low_f1,0.0005509853363037109,0,64,0,,0,0,0,,1,1
f0_closure_dur_low_f1,0.0010886192321777344,0,64,0,,0,0,0,,0,1
f0_closure_dur_low_f1,0.0004115104675292969,0,64,0,,0,0,0,,1,0
f0_closure_dur_low_f1,0.0002866387367248535,0,64,0,,1,1,0,,0,1
f0_closure_dur_low_f1,0.0012364983558654785,0,64,0,,1,1,0,,1,0
f0_closure_dur_low_f1,0.0024188756942749023,0,64,0,,0,1,0,,1,0
f0_closure_dur_high_f1,0.002051413059234619,0,64,1,,0,0,1,,1,1
f0_closure_dur_high_f1,0.0012293457984924316,0,64,1,,0,0,1,,1,0
f0_closure_dur_high_f1,0.005348682403564453,0,64,1,,0,0,1,,0,1
f0_closure_dur_high_f1,0.0025154948234558105,0,64,1,,1,1,1,,1,0
f0_closure_dur_high_f1,0.00188368558883667,0,64,1,,1,1,1,,0,1
f0_closure_dur_high_f1,0.008047342300415039,0,64,1,,1,0,1,,0,1
