Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_F1,stim1_Closure,stim1_f0,stim2_voicing,stim2_F1,stim2_Closure,stim2_f0
f1_voicing_dur,0.0018330812454223633,0,67,0,0,,,0,1,,
f1_voicing_dur,0.001896500587463379,1,67,0,0,,,1,1,,
f1_voicing_dur,1.1920928955078125e-05,0,67,0,0,,,1,0,,
f1_voicing_dur,3.516674041748047e-05,0,67,0,1,,,1,1,,
f1_voicing_dur,0.0018330216407775879,1,67,0,1,,,1,0,,
f1_voicing_dur,0.0018762946128845215,0,67,1,1,,,1,0,,
f1_closure_dur_low_f0,0.0005661249160766602,0,67,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.00035375356674194336,0,67,,0,0,0,,1,0,0
f1_closure_dur_low_f0,0.0019332170486450195,0,67,,0,0,0,,1,1,0
f1_closure_dur_low_f0,0.0002995133399963379,0,67,,0,1,0,,1,0,0
f1_closure_dur_low_f0,0.0004934072494506836,0,67,,0,1,0,,1,1,0
f1_closure_dur_low_f0,0.0009682178497314453,0,67,,1,0,0,,1,1,0
f1_closure_dur_high_f0,0.0028461217880249023,0,67,,1,1,1,,0,0,1
f1_closure_dur_high_f0,0.001014113426208496,0,67,,1,1,1,,0,1,1
f1_closure_dur_high_f0,0.0010598301887512207,0,67,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.0006254911422729492,0,67,,0,0,1,,0,1,1
f1_closure_dur_high_f0,0.0006766319274902344,0,67,,0,0,1,,1,0,1
f1_closure_dur_high_f0,0.0004189610481262207,0,67,,0,1,1,,1,0,1
f0_voicing_dur,9.351968765258789e-05,1,67,1,,,0,0,,,1
f0_voicing_dur,3.5762786865234375e-07,0,67,1,,,0,0,,,0
f0_voicing_dur,0.0001646876335144043,0,67,1,,,0,1,,,1
f0_voicing_dur,9.399652481079102e-05,0,67,0,,,1,0,,,0
f0_voicing_dur,8.720159530639648e-05,0,67,0,,,1,1,,,1
f0_voicing_dur,0.00016647577285766602,1,67,0,,,0,1,,,1
f0_closure_dur_low_f1,0.0002753734588623047,0,67,,0,0,0,,0,1,1
f0_closure_dur_low_f1,0.00040602684020996094,0,67,,0,0,0,,0,1,0
f0_closure_dur_low_f1,0.0002561211585998535,0,67,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.00015228986740112305,0,67,,0,1,1,,0,1,0
f0_closure_dur_low_f1,0.0006254911422729492,0,67,,0,1,1,,0,0,1
f0_closure_dur_low_f1,0.0011057853698730469,0,67,,0,1,0,,0,0,1
f0_closure_dur_high_f1,0.0007104277610778809,0,67,,1,0,0,,1,1,1
f0_closure_dur_high_f1,0.0005182027816772461,0,67,,1,0,0,,1,0,1
f0_closure_dur_high_f1,0.002143383026123047,0,67,,1,0,0,,1,1,0
f0_closure_dur_high_f1,0.0010598301887512207,0,67,,1,1,1,,1,0,1
f0_closure_dur_high_f1,0.0008941888809204102,0,67,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.0035599470138549805,0,67,,1,0,1,,1,1,0
