Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_Closure,stim1_f0,stim1_F1,stim2_voicing,stim2_Closure,stim2_f0,stim2_F1
f1_voicing_dur,0.003061830997467041,0,9,0,,,0,0,,,1
f1_voicing_dur,0.0028715133666992188,1,9,0,,,0,1,,,1
f1_voicing_dur,4.291534423828125e-05,0,9,0,,,0,1,,,0
f1_voicing_dur,0.00013244152069091797,0,9,0,,,1,1,,,1
f1_voicing_dur,0.0031957030296325684,1,9,0,,,1,1,,,0
f1_voicing_dur,0.0029100775718688965,0,9,1,,,1,1,,,0
f1_closure_dur_low_f0,0.0009472370147705078,0,9,,0,0,0,,1,0,0
f1_closure_dur_low_f0,0.001067519187927246,0,9,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.0035861730575561523,0,9,,0,0,0,,1,0,1
f1_closure_dur_low_f0,0.0005396008491516113,0,9,,1,0,0,,0,0,1
f1_closure_dur_low_f0,0.001060783863067627,0,9,,1,0,0,,1,0,1
f1_closure_dur_low_f0,0.0013518929481506348,0,9,,0,0,1,,1,0,1
f1_closure_dur_high_f0,0.004263877868652344,0,9,,1,1,1,,0,1,0
f1_closure_dur_high_f0,0.0016350746154785156,0,9,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.0012665390968322754,0,9,,1,1,1,,0,1,1
f1_closure_dur_high_f0,0.0008838176727294922,0,9,,0,1,0,,1,1,0
f1_closure_dur_high_f0,0.001387476921081543,0,9,,0,1,0,,0,1,1
f1_closure_dur_high_f0,0.0007597804069519043,0,9,,1,1,0,,0,1,1
f0_voicing_dur,0.00013375282287597656,1,9,1,,0,,0,,1,
f0_voicing_dur,7.152557373046875e-07,0,9,1,,0,,0,,0,
f0_voicing_dur,0.0002352595329284668,0,9,1,,0,,1,,1,
f0_voicing_dur,0.00012886524200439453,0,9,0,,1,,0,,0,
f0_voicing_dur,0.00019055604934692383,0,9,0,,1,,1,,1,
f0_voicing_dur,0.000232696533203125,1,9,0,,0,,1,,1,
f0_closure_dur_low_f1,0.000379025936126709,0,9,,0,0,0,,1,1,0
f0_closure_dur_low_f1,0.0007394552230834961,0,9,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.00032019615173339844,0,9,,0,0,0,,0,1,0
f0_closure_dur_low_f1,0.00023174285888671875,0,9,,1,1,0,,1,0,0
f0_closure_dur_low_f1,0.0008838176727294922,0,9,,1,1,0,,0,1,0
f0_closure_dur_low_f1,0.0016890764236450195,0,9,,1,0,0,,0,1,0
f0_closure_dur_high_f1,0.0011236071586608887,0,9,,0,0,1,,1,1,1
f0_closure_dur_high_f1,0.0009015798568725586,0,9,,0,0,1,,0,1,1
f0_closure_dur_high_f1,0.0030594468116760254,0,9,,0,0,1,,1,0,1
f0_closure_dur_high_f1,0.0012665390968322754,0,9,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.001410365104675293,0,9,,1,1,1,,1,0,1
f0_closure_dur_high_f1,0.004807472229003906,0,9,,0,1,1,,1,0,1
