FileID,Category
0_m2_b_ah,voiced
1_m2_d_eh,voiced
2_m1_g_ow,voiced
3_m1_g_ow,voiced
4_f1_g_ah,voiced
5_m2_g_uw,voiced
6_m2_b_uw,voiced
7_m2_g_ow,voiced
8_m1_d_eh,voiced
9_m2_d_eh,voiced
10_m1_b_aa,voiced
11_m2_d_uw,voiced
12_f1_d_uw,voiced
13_m1_b_ow,voiced
14_m1_b_ow,voiced
15_f1_b_eh,voiced
16_m2_g_iy,voiced
17_f1_b_ah,voiced
18_m2_d_ah,voiced
19_m1_g_eh,voiced
20_m1_d_iy,voiced
21_m1_b_iy,voiced
22_m1_b_aa,voiced
23_m1_b_iy,voiced
24_m2_g_ah,voiced
25_m2_b_iy,voiced
26_m1_g_aa,voiced
27_f1_g_eh,voiced
28_m1_d_ow,voiced
29_m2_g_ow,voiced
30_f1_g_aa,voiced
31_m1_b_ah,voiced
32_f1_b_iy,voiced
33_m2_b_aa,voiced
34_m2_b_ow,voiced
35_m2_g_ow,voiced
36_m2_g_iy,voiced
37_m1_g_iy,voiced
38_f1_d_aa,voiced
39_m2_b_eh,voiced
40_m2_b_eh,voiced
41_f1_d_eh,voiced
42_m1_d_iy,voiced
43_m2_b_aa,voiced
44_m2_b_eh,voiced
45_m2_d_uw,voiced
46_m2_g_eh,voiced
47_m1_g_iy,voiced
48_m1_b_uw,voiced
49_m1_d_aa,voiced
50_m2_d_eh,voiced
51_f1_d_uw,voiced
52_m1_g_eh,voiced
53_f1_b_uw,voiced
54_m2_d_uw,voiced
55_m1_b_uw,voiced
56_m2_d_aa,voiced
57_m1_g_uw,voiced
58_f1_g_iy,voiced
59_m2_g_eh,voiced
60_m2_b_ah,voiced
61_m1_g_aa,voiced
62_f1_g_ah,voiced
63_m2_g_iy,voiced
64_m1_d_aa,voiced
65_m1_d_aa,voiced
66_f1_b_uw,voiced
67_f1_d_iy,voiced
68_m1_g_uw,voiced
69_m2_d_uw,voiced
70_m1_g_aa,voiced
71_m1_b_eh,voiced
72_m2_g_aa,voiced
73_f1_b_ah,voiced
74_m2_g_eh,voiced
75_m2_b_uw,voiced
76_m2_b_iy,voiced
77_m2_b_ah,voiced
78_f1_b_aa,voiced
