Name,VowelDur,ClosureDur,F1offset,F1steady,F2offset,F2steady,F3offset,F3steady,F4offset,F4steady,F5offset,F5steady,f0offset,f0steady,f0TransitionDur,F1TransitionDur,OtherFsTransitionDur,F1Closure,f0Closure,ClosureVoicingDur
0_m2_b_ah,0.205,0.15878994757416884,370.62684420304123,745.0422076019549,800,1150,1750,2400,3300,3300,3850,3850,81.03178900440606,79.22743181245541,0.055,0.055,0.04,150,90,0.1459078727702716
1_m2_d_eh,0.205,0.15054664067150586,309.1701813871176,417.83014212586215,800,1150,1750,2400,3300,3300,3850,3850,134.3992614572801,139.9809605315584,0.055,0.055,0.04,150,90,0.15054664067150586
2_m1_g_ow,0.205,0.08087470485766525,333.280816971401,633.3890753171656,800,1150,1750,2400,3300,3300,3850,3850,123.55289566146496,122.94298566429504,0.055,0.055,0.04,150,90,0.07408955676835875
3_m1_g_ow,0.205,0.10255503672016238,310.16251877356115,369.7236551972398,800,1150,1750,2400,3300,3300,3850,3850,115.19130820468116,126.95779521881177,0.055,0.055,0.04,150,90,0.10255503672016238
4_f1_g_ah,0.205,0.10914146357069113,361.8753785494094,599.2676937735253,800,1150,1750,2400,3300,3300,3850,3850,102.7016323589379,109.65124291663386,0.055,0.055,0.04,150,90,0.05928012021109534
5_m2_g_uw,0.205,0.10170192695565179,264.2932390581371,472.562152025071,800,1150,1750,2400,3300,3300,3850,3850,104.33198507260423,90.01912211743587,0.055,0.055,0.04,150,90,0.09632403557242564
6_m2_b_uw,0.205,0.12692126835037223,284.0825053125302,444.00665145863434,800,1150,1750,2400,3300,3300,3850,3850,121.66408056393013,100.56075399057892,0.055,0.055,0.04,150,90,0.06179745187000399
7_m2_g_ow,0.205,0.15392117221394958,280.7838823105464,448.3071250482275,800,1150,1750,2400,3300,3300,3850,3850,65.72111992086765,99.23753036357479,0.055,0.055,0.04,150,90,0.05302283641060344
8_m1_d_eh,0.205,0.14894538606353191,394.5596037028067,438.0567814107813,800,1150,1750,2400,3300,3300,3850,3850,129.62303687574837,80.88617473609258,0.055,0.055,0.04,150,90,0.08769493078893598
9_m2_d_eh,0.205,0.1539291156220228,347.66410277197207,410.49629789541683,800,1150,1750,2400,3300,3300,3850,3850,102.13731779367441,121.54287646315476,0.055,0.055,0.04,150,90,0.13860984791580372
10_m1_b_aa,0.205,0.13114348533232978,463.38877704955706,566.430859145408,800,1150,1750,2400,3300,3300,3850,3850,131.7664410817298,71.07821727495254,0.055,0.055,0.04,150,90,0.11584707526915583
11_m2_d_uw,0.205,0.174819830418724,178.39785310114414,142.8830371146324,800,1150,1750,2400,3300,3300,3850,3850,121.14145486464864,110.34890115097349,0.055,0.055,0.04,150,90,0.11152706519430172
12_f1_d_uw,0.205,0.04109053422001804,197.00212939980418,362.0287159713476,800,1150,1750,2400,3300,3300,3850,3850,204.21361577392005,205.41501699157007,0.055,0.055,0.04,150,90,0.04109053422001804
13_m1_b_ow,0.205,0.1263344776699053,281.0394180985583,476.93327739847246,800,1150,1750,2400,3300,3300,3850,3850,95.5782591057987,139.86921170353156,0.055,0.055,0.04,150,90,0.1263344776699053
14_m1_b_ow,0.205,0.14870288007681243,489.75686321533834,432.7385233200838,800,1150,1750,2400,3300,3300,3850,3850,142.25589695677425,140.38426383488604,0.055,0.055,0.04,150,90,0.10893671782945855
15_f1_b_eh,0.205,0.09880794315652366,327.3141418047412,516.2495835273834,800,1150,1750,2400,3300,3300,3850,3850,165.426154064169,188.07567154443177,0.055,0.055,0.04,150,90,0.0896395332884382
16_m2_g_iy,0.205,0.1608983845577239,245.5822644157133,186.64153602269067,800,1150,1750,2400,3300,3300,3850,3850,129.40545223836637,133.44233935721118,0.055,0.055,0.04,150,90,0.10719098498360415
17_f1_b_ah,0.205,0.09072354229599772,444.9278700301076,555.2590079586374,800,1150,1750,2400,3300,3300,3850,3850,194.24050635005514,198.02503598881322,0.055,0.055,0.04,150,90,0.05158873675208829
18_m2_d_ah,0.205,0.1166414712602891,348.572644458782,798.3409434464422,800,1150,1750,2400,3300,3300,3850,3850,92.38598556363992,132.03344738038106,0.055,0.055,0.04,150,90,0.1074363751224951
19_m1_g_eh,0.205,0.1016857171134404,263.6015946624112,305.06009524774754,800,1150,1750,2400,3300,3300,3850,3850,92.54196349043757,97.94302382431569,0.055,0.055,0.04,150,90,0.1016857171134404
20_m1_d_iy,0.205,0.10788869177314728,198.63570048828734,128.67250857410633,800,1150,1750,2400,3300,3300,3850,3850,91.63649139994402,107.46104786796145,0.055,0.055,0.04,150,90,0.08697249543790032
21_m1_b_iy,0.205,0.10553836981314432,276.0943313537622,131.50338173425004,800,1150,1750,2400,3300,3300,3850,3850,93.15246811742747,147.6125103899476,0.055,0.055,0.04,150,90,0.10553836981314432
22_m1_b_aa,0.205,0.1250800884243281,395.099635838168,715.2595176552825,800,1150,1750,2400,3300,3300,3850,3850,99.44795287804467,124.24943258693503,0.055,0.055,0.04,150,90,0.1250800884243281
23_m1_b_iy,0.205,0.11295819822176649,197.61960606902605,140.5520875959383,800,1150,1750,2400,3300,3300,3850,3850,117.81175841877203,141.52426711216236,0.055,0.055,0.04,150,90,0.08607528037714002
24_m2_g_ah,0.205,0.17774463620634892,303.3558103684824,661.0207772630625,800,1150,1750,2400,3300,3300,3850,3850,119.69022867180496,84.0206596185744,0.055,0.055,0.04,150,90,0.14010176421503442
25_m2_b_iy,0.205,0.10802053836668425,151.2936690741791,416.18001309870425,800,1150,1750,2400,3300,3300,3850,3850,136.22766712039345,134.63589486556333,0.055,0.055,0.04,150,90,0.08354077432851285
26_m1_g_aa,0.205,0.08909742042342764,355.65698409646643,668.4674127505682,800,1150,1750,2400,3300,3300,3850,3850,101.54565504243567,108.7121311463032,0.055,0.055,0.04,150,90,0.06985496225193749
27_f1_g_eh,0.205,0.0888375265604515,313.41614947829396,615.4584115802406,800,1150,1750,2400,3300,3300,3850,3850,190.8430454627229,207.71415128122788,0.055,0.055,0.04,150,90,0.062225605085380484
28_m1_d_ow,0.205,0.09878521212101335,232.8753798924057,473.3731956991045,800,1150,1750,2400,3300,3300,3850,3850,139.76603054959784,140.23242215397457,0.055,0.055,0.04,150,90,0.08578136267482764
29_m2_g_ow,0.205,0.13493790135388006,95.5272817645464,330.9189592179266,800,1150,1750,2400,3300,3300,3850,3850,100.74134877980063,138.43041348588565,0.055,0.055,0.04,150,90,0.08284668352146765
30_f1_g_aa,0.205,0.09161864741450457,320.8009834247214,987.4297484003101,800,1150,1750,2400,3300,3300,3850,3850,170.70015657053878,216.1831669255182,0.055,0.055,0.04,150,90,0.02276017781326116
31_m1_b_ah,0.205,0.131921422337369,433.60396383705984,746.110879395721,800,1150,1750,2400,3300,3300,3850,3850,112.2215213900378,104.49544980986775,0.055,0.055,0.04,150,90,0.131921422337369
32_f1_b_iy,0.205,0.0713060789262585,385.0585958681425,440.6011289012576,800,1150,1750,2400,3300,3300,3850,3850,208.01181619779607,215.86445597398742,0.055,0.055,0.04,150,90,0.04195080958055375
33_m2_b_aa,0.205,0.1434584439638825,543.4945545375064,794.1697975047199,800,1150,1750,2400,3300,3300,3850,3850,145.88439393346178,108.67360649418943,0.055,0.055,0.04,150,90,0.09488606419575725
34_m2_b_ow,0.205,0.11144162221720988,312.30916889299425,540.0555248887591,800,1150,1750,2400,3300,3300,3850,3850,86.79195143547037,108.69100122500572,0.055,0.055,0.04,150,90,0.11144162221720988
35_m2_g_ow,0.205,0.14526175278065712,266.114712477515,606.2811767534536,800,1150,1750,2400,3300,3300,3850,3850,104.44041414949838,114.2060787385777,0.055,0.055,0.04,150,90,0.028027296238578178
36_m2_g_iy,0.205,0.15135490547819352,147.1708638390541,416.0382140457425,800,1150,1750,2400,3300,3300,3850,3850,124.06457364991687,146.1686392554364,0.055,0.055,0.04,150,90,0.13180474190511973
37_m1_g_iy,0.205,0.09679532948526187,211.2615789420227,294.42359780101657,800,1150,1750,2400,3300,3300,3850,3850,133.1516107539734,137.72746828504893,0.055,0.055,0.04,150,90,0.09679532948526187
38_f1_d_aa,0.205,0.05598735847174312,414.46561024928076,724.4107876246121,800,1150,1750,2400,3300,3300,3850,3850,143.2244753386725,184.10694627292656,0.055,0.055,0.04,150,90,0.03950591045459949
39_m2_b_eh,0.205,0.1107615839367516,393.2187999583476,579.6306988408709,800,1150,1750,2400,3300,3300,3850,3850,124.8020365844474,82.4535432013495,0.055,0.055,0.04,150,90,0.1107615839367516
40_m2_b_eh,0.205,0.14299014866836685,508.2177029937829,602.5689310312287,800,1150,1750,2400,3300,3300,3850,3850,85.26812382838143,110.85402320178781,0.055,0.055,0.04,150,90,0.14042833477757535
41_f1_d_eh,0.205,0.08848400700905562,401.23964769500867,715.0190759473974,800,1150,1750,2400,3300,3300,3850,3850,147.58430158727896,188.66459228327318,0.055,0.055,0.04,150,90,0.08848400700905562
42_m1_d_iy,0.205,0.10352938337143038,141.23245788926653,323.0507533499408,800,1150,1750,2400,3300,3300,3850,3850,82.35665100542798,86.89299648634235,0.055,0.055,0.04,150,90,0.09453393312095087
43_m2_b_aa,0.205,0.13820475525881334,522.3001939233365,693.2456523284465,800,1150,1750,2400,3300,3300,3850,3850,126.12399022769984,119.47614582670164,0.055,0.055,0.04,150,90,0.13615352046006937
44_m2_b_eh,0.205,0.12177919323378779,385.8317627686482,648.0655692392313,800,1150,1750,2400,3300,3300,3850,3850,81.94660082150276,117.93442465067102,0.055,0.055,0.04,150,90,0.12177919323378779
45_m2_d_uw,0.205,0.11662468235204726,280.7744365278132,326.96646053811935,800,1150,1750,2400,3300,3300,3850,3850,130.77835489050958,91.76404490348975,0.055,0.055,0.04,150,90,0.06858812857887533
46_m2_g_eh,0.205,0.12550121658529398,234.1677221109813,401.7919505378399,800,1150,1750,2400,3300,3300,3850,3850,129.1765245271944,76.9249445407846,0.055,0.055,0.04,150,90,0.12550121658529398
47_m1_g_iy,0.205,0.09517917909334975,266.848679427876,171.25877901799376,800,1150,1750,2400,3300,3300,3850,3850,127.31357592086323,104.19141230541021,0.055,0.055,0.04,150,90,0.09517917909334975
48_m1_b_uw,0.205,0.1457319028941957,264.0789437287514,393.28027928740164,800,1150,1750,2400,3300,3300,3850,3850,109.35700147703074,107.36082625343252,0.055,0.055,0.04,150,90,0.10094494871397523
49_m1_d_aa,0.205,0.12716807313050318,465.14373224166764,474.5738076660433,800,1150,1750,2400,3300,3300,3850,3850,107.35644147132169,108.86250319500792,0.055,0.055,0.04,150,90,0.11531682056066314
50_m2_d_eh,0.205,0.18273338478844225,429.2320495208663,506.88095283785117,800,1150,1750,2400,3300,3300,3850,3850,70.11885542025986,78.20830622302418,0.055,0.055,0.04,150,90,0.09566388455871404
51_f1_d_uw,0.205,0.1125862932145636,348.97871188133837,489.9774886938859,800,1150,1750,2400,3300,3300,3850,3850,180.8483229142693,190.48763775462987,0.055,0.055,0.04,150,90,0.018710186410595415
52_m1_g_eh,0.205,0.08245754818831846,284.41667225728406,469.55896340415825,800,1150,1750,2400,3300,3300,3850,3850,93.89319278027493,105.2870208745206,0.055,0.055,0.04,150,90,0.08245754818831846
53_f1_b_uw,0.205,0.07817766233844292,203.61030918965247,308.70891795989064,800,1150,1750,2400,3300,3300,3850,3850,206.99708663757846,165.4394327394572,0.055,0.055,0.04,150,90,0.028051365417147672
54_m2_d_uw,0.205,0.11313429361032643,278.8770161027711,450.62251355863697,800,1150,1750,2400,3300,3300,3850,3850,113.55918902394679,117.31093032533062,0.055,0.055,0.04,150,90,0.10817171595111658
