Name,VowelDur,ClosureDur,F1offset,F1steady,F2offset,F2steady,F3offset,F3steady,F4offset,F4steady,F5offset,F5steady,f0offset,f0steady,f0TransitionDur,F1TransitionDur,OtherFsTransitionDur,F1Closure,f0Closure,ClosureVoicingDur
0_m2_b_ah,0.205,0.15850828153644841,370.64452980028284,745.0026017803714,800,1150,1750,2400,3300,3300,3850,3850,80.89784638176369,79.22931872864929,0.055,0.055,0.04,150,90,0.14588235617798073
1_m2_d_eh,0.205,0.15184939390113675,309.4725718402581,417.90138367706606,800,1150,1750,2400,3300,3300,3850,3850,134.5399860805206,139.97903743335456,0.055,0.055,0.04,150,90,0.15184939390113675
2_m1_g_ow,0.205,0.0827484891000217,333.00904285621993,633.320438953744,800,1150,1750,2400,3300,3300,3850,3850,123.64437363925336,122.94222186575016,0.055,0.055,0.04,150,90,0.0708000665843134
3_m1_g_ow,0.205,0.10262762139998687,310.10671157054423,369.75349762026093,800,1150,1750,2400,3300,3300,3850,3850,115.25101061470559,126.95636981387207,0.055,0.055,0.04,150,90,0.10262762139998687
4_f1_g_ah,0.205,0.10878481430295611,361.7710305040721,599.3304548764331,800,1150,1750,2400,3300,3300,3850,3850,102.78514129886983,109.65005158988704,0.055,0.055,0.04,150,90,0.0593291138119213
5_m2_g_uw,0.205,0.12532107620774965,260.2951185972047,479.56768205660745,800,1150,1750,2400,3300,3300,3850,3850,104.57297642600928,91.08419203385094,0.055,0.055,0.04,150,90,0.11607967721803635
6_m2_b_uw,0.205,0.12670750153394253,283.8031149005848,443.9376505708545,800,1150,1750,2400,3300,3300,3850,3850,121.78921283986892,100.56125632828116,0.055,0.055,0.04,150,90,0.06175728214393236
7_m2_g_ow,0.205,0.15362917525904118,280.6013571982487,448.30103768970974,800,1150,1750,2400,3300,3300,3850,3850,65.54639520548028,99.23789995909445,0.055,0.055,0.04,150,90,0.053054767220962966
8_m1_d_eh,0.205,0.14853204462289374,394.39765988728584,438.0639147040262,800,1150,1750,2400,3300,3300,3850,3850,129.75207052705684,80.88802992252792,0.055,0.055,0.04,150,90,0.08786732069859479
9_m2_d_eh,0.205,0.15460061775916567,347.7838950374493,410.55485151778623,800,1150,1750,2400,3300,3300,3850,3850,102.13608860785266,121.54200133519237,0.055,0.055,0.04,150,90,0.15292520313543415
10_m1_b_aa,0.205,0.13785917212125345,463.38475669463867,566.4391049412689,800,1150,1750,2400,3300,3300,3850,3850,131.92766152784054,71.08022417469692,0.055,0.055,0.04,150,90,0.11594833432947049
11_m2_d_uw,0.205,0.1746708983451704,178.58128554990776,142.93984651323123,800,1150,1750,2400,3300,3300,3850,3850,121.22469590128956,110.34921945966488,0.055,0.055,0.04,150,90,0.11141520202951295
12_f1_d_uw,0.205,0.048091127221469784,253.03063751879142,365.17974815355245,800,1150,1750,2400,3300,3300,3850,3850,210.99348320783554,205.70330449479476,0.055,0.055,0.04,150,90,0.048091127221469784
13_m1_b_ow,0.205,0.12634160563171506,281.34706276813097,476.93265403040755,800,1150,1750,2400,3300,3300,3850,3850,95.53971866974331,139.8673202061339,0.055,0.055,0.04,150,90,0.12634160563171506
14_m1_b_ow,0.205,0.14854031392358444,489.51319859571504,432.76222196521917,800,1150,1750,2400,3300,3300,3850,3850,142.40740482699664,140.38280532363,0.055,0.055,0.04,150,90,0.10904252840298775
15_f1_b_eh,0.205,0.11032427657889975,327.5601602034379,516.2740407458571,800,1150,1750,2400,3300,3300,3850,3850,165.34036882617877,188.0756461124156,0.055,0.055,0.04,150,90,0.08972507178885936
16_m2_g_iy,0.205,0.16055717016146048,245.50886676996964,186.66568274101178,800,1150,1750,2400,3300,3300,3850,3850,129.52061346660503,133.44109499904755,0.055,0.055,0.04,150,90,0.10734835550001956
17_f1_b_ah,0.205,0.09093117478638121,444.81928209775344,555.3330129428996,800,1150,1750,2400,3300,3300,3850,3850,194.3554089295365,198.02379638919552,0.055,0.055,0.04,150,90,0.051604307911968496
18_m2_d_ah,0.205,0.11695928396860228,348.3773477666447,798.27041766814,800,1150,1750,2400,3300,3300,3850,3850,92.3632351788007,132.03195726383674,0.055,0.055,0.04,150,90,0.10736967802753566
19_m1_g_eh,0.205,0.10185321616578462,263.717981290271,305.1262370814163,800,1150,1750,2400,3300,3300,3850,3850,92.50640093333621,97.94349342694441,0.055,0.055,0.04,150,90,0.10185321616578462
20_m1_d_iy,0.205,0.10784992465759112,198.77538529250052,128.73604351681843,800,1150,1750,2400,3300,3300,3850,3850,91.54758265702942,107.46188003683301,0.055,0.055,0.04,150,90,0.08706132434435715
21_m1_b_iy,0.205,0.10546474739238976,276.02335146140433,131.56394522747416,800,1150,1750,2400,3300,3300,3850,3850,93.06337250230202,147.61069059750818,0.055,0.055,0.04,150,90,0.10546474739238976
22_m1_b_aa,0.205,0.13189501159818803,395.3199959194023,715.2044790434384,800,1150,1750,2400,3300,3300,3850,3850,99.44559046560367,124.24817065798106,0.055,0.055,0.04,150,90,0.13189501159818803
23_m1_b_iy,0.205,0.11276313942478736,197.8064738047684,140.60880342973525,800,1150,1750,2400,3300,3300,3850,3850,117.84747796120989,141.52282160916192,0.055,0.055,0.04,150,90,0.08614695037862626
24_m2_g_ah,0.205,0.17780740756101565,303.5134646846305,660.9953137722077,800,1150,1750,2400,3300,3300,3850,3850,119.76553764604913,84.02213714175204,0.055,0.055,0.04,150,90,0.15049043374178067
25_m2_b_iy,0.205,0.1080337863937314,151.60022361958318,416.10772404527614,800,1150,1750,2400,3300,3300,3850,3850,136.37933343210813,134.63462912594312,0.055,0.055,0.04,150,90,0.08366189112101811
26_m1_g_aa,0.205,0.08955637837450517,355.6962891244947,668.4448236215432,800,1150,1750,2400,3300,3300,3850,3850,101.54597041354656,108.71200718516006,0.055,0.055,0.04,150,90,0.0651832141953717
27_f1_g_eh,0.205,0.08909893951867949,313.4998213948114,615.4363614051335,800,1150,1750,2400,3300,3300,3850,3850,190.93531099806123,207.71233040022526,0.055,0.055,0.04,150,90,0.06205144058138699
28_m1_d_ow,0.205,0.09845321486780734,233.0816599997628,473.36238483557565,800,1150,1750,2400,3300,3300,3850,3850,139.9273160245964,140.2307092427919,0.055,0.055,0.04,150,90,0.08574649030254948
29_m2_g_ow,0.205,0.13489669220465622,95.6832809178284,330.9811232340833,800,1150,1750,2400,3300,3300,3850,3850,100.74982321868154,138.42827858521514,0.055,0.055,0.04,150,90,0.080149304967405
30_f1_g_aa,0.205,0.09155325571068895,320.8437264306529,987.3838063917419,800,1150,1750,2400,3300,3300,3850,3850,170.65891428525168,216.18113180764462,0.055,0.055,0.04,150,90,0.022780435550796514
31_m1_b_ah,0.205,0.13212859852997758,433.58589056138044,746.0410957139907,800,1150,1750,2400,3300,3300,3850,3850,112.24233561449955,104.4959730518026,0.055,0.055,0.04,150,90,0.13212859852997758
32_f1_b_iy,0.205,0.0786882196013513,384.75680313637696,440.55428492023475,800,1150,1750,2400,3300,3300,3850,3850,208.11386111498956,215.86366333090305,0.055,0.055,0.04,150,90,0.04947919655709785
33_m2_b_aa,0.205,0.1432280295764193,543.1928231849363,794.1301760183823,800,1150,1750,2400,3300,3300,3850,3850,146.04738541543514,108.673410901886,0.055,0.055,0.04,150,90,0.09502688742371618
34_m2_b_ow,0.205,0.11158120163009935,312.2636625435424,540.0204461351287,800,1150,1750,2400,3300,3300,3850,3850,86.73563919534104,108.69083151068382,0.055,0.055,0.04,150,90,0.11158120163009935
35_m2_g_ow,0.205,0.1448672922409845,265.9795417968471,606.2147816860647,800,1150,1750,2400,3300,3300,3850,3850,104.44634299427408,114.20564324937206,0.055,0.055,0.04,150,90,0.0337683243403341
36_m2_g_iy,0.205,0.15124156924173926,147.44630041181026,415.96726313224326,800,1150,1750,2400,3300,3300,3850,3850,124.13451179031914,146.1665899770414,0.055,0.055,0.04,150,90,0.1318652076063977
37_m1_g_iy,0.205,0.0964726591973639,211.3575107909964,294.4075919546931,800,1150,1750,2400,3300,3300,3850,3850,133.26215155601693,137.7263129690331,0.055,0.055,0.04,150,90,0.0964726591973639
38_f1_d_aa,0.205,0.05636137547342011,414.50226030113373,724.4765034564986,800,1150,1750,2400,3300,3300,3850,3850,143.07364817361974,184.10655482034161,0.055,0.055,0.04,150,90,0.039590412667525055
39_m2_b_eh,0.205,0.11891677705334153,393.3027789802039,579.6271781555704,800,1150,1750,2400,3300,3300,3850,3850,124.9179590966433,82.45537924923893,0.055,0.055,0.04,150,90,0.11891677705334153
40_m2_b_eh,0.205,0.14308359876132168,508.0800323970095,602.5521755731421,800,1150,1750,2400,3300,3300,3850,3850,85.18382167694709,110.85409392876839,0.055,0.055,0.04,150,90,0.14046794997075807
41_f1_d_eh,0.205,0.08907297323433584,401.27560125500105,714.9472819878401,800,1150,1750,2400,3300,3300,3850,3850,147.46708449643768,188.6640485867876,0.055,0.055,0.04,150,90,0.08907297323433584
42_m1_d_iy,0.205,0.1083418640015768,141.50758828757935,323.02322278346765,800,1150,1750,2400,3300,3300,3850,3850,82.25365252388562,86.89465566416851,0.055,0.055,0.04,150,90,0.09932407701014112
43_m2_b_aa,0.205,0.1381781637556119,522.196376437656,693.2544112746018,800,1150,1750,2400,3300,3300,3850,3850,126.2597194206061,119.4751785479894,0.055,0.055,0.04,150,90,0.1361555629834197
44_m2_b_eh,0.205,0.12975406701224645,385.94001368201026,648.0329489149037,800,1150,1750,2400,3300,3300,3850,3850,81.84560679223173,117.93407942580143,0.055,0.055,0.04,150,90,0.12975406701224645
45_m2_d_uw,0.205,0.11690807292559494,280.58726735361694,326.94429563447784,800,1150,1750,2400,3300,3300,3850,3850,130.89201498967395,91.76551305033671,0.055,0.055,0.04,150,90,0.06866658569525899
46_m2_g_eh,0.205,0.1259340897242062,234.31199256763313,401.8613367521325,800,1150,1750,2400,3300,3300,3850,3850,129.29593387036357,76.92684119647383,0.055,0.055,0.04,150,90,0.1259340897242062
47_m1_g_iy,0.205,0.09539539355674505,266.7926527633392,171.29741529782,800,1150,1750,2400,3300,3300,3850,3850,127.36111485259539,104.19244953064862,0.055,0.055,0.04,150,90,0.09534976783026909
48_m1_b_uw,0.205,0.14537770140632553,263.9239214272049,393.24786970992625,800,1150,1750,2400,3300,3300,3850,3850,109.41392748234037,107.36115397569515,0.055,0.055,0.04,150,90,0.1010557964880648
49_m1_d_aa,0.205,0.12692382002319536,465.26308959709274,474.6346239292638,800,1150,1750,2400,3300,3300,3850,3850,107.3568368351006,108.86244774160275,0.055,0.055,0.04,150,90,0.10368626115398255
50_m2_p_eh,0.205,0.1493518106138535,614.8537270484776,539.0782394648388,800,1150,1750,2400,3300,3300,3850,3850,70.04563697230432,80.85573608589459,0.055,0.055,0.04,150,90,0.01413529675516791
51_m2_k_uw,0.205,0.15698801854953903,266.7260845739496,464.9110701311415,800,1150,1750,2400,3300,3300,3850,3850,89.86341343951658,112.32241064692128,0.055,0.055,0.04,150,90,0.027218549955800055
52_f1_t_eh,0.205,0.09020319671947837,267.43830908973655,557.7617335385269,800,1150,1750,2400,3300,3300,3850,3850,175.3149198842917,172.41627412270256,0.055,0.055,0.04,150,90,0.020774387535429702
53_m2_t_ow,0.205,0.11121653940591202,219.94976809244685,384.6882598350694,800,1150,1750,2400,3300,3300,3850,3850,129.58377714350343,82.85744181006247,0.055,0.055,0.04,150,90,0.06763578259438344
54_m1_p_uw,0.205,0.12988390972937613,329.1418080838785,493.70136335725056,800,1150,1750,2400,3300,3300,3850,3850,113.37681641473209,119.95192999517911,0.055,0.055,0.04,150,90,0.0711351134330406
55_f1_k_uw,0.205,0.075987124634508,174.15072104189164,240.97006245073032,800,1150,1750,2400,3300,3300,3850,3850,171.9436258919052,182.6463947566489,0.055,0.055,0.04,150,90,0.011266720293121195
56_m2_p_aa,0.205,0.1176167049917886,443.8586327751027,846.8467265031938,800,1150,1750,2400,3300,3300,3850,3850,67.25456824744529,73.1991859926375,0.055,0.055,0.04,150,90,0.005724292996650292
57_f1_t_uw,0.205,0.11079112460310406,428.193338074791,304.6451388606175,800,1150,1750,2400,3300,3300,3850,3850,184.77943865419485,171.37383616095272,0.055,0.055,0.04,150,90,0.019243419512920752
58_m2_p_iy,0.205,0.12063244548384551,257.46597941340497,366.888027729379,800,1150,1750,2400,3300,3300,3850,3850,138.35413420085771,109.36084032056225,0.055,0.055,0.04,150,90,0.07640876774747433
59_m1_t_eh,0.205,0.144671908454339,493.7175017338722,553.5421663901609,800,1150,1750,2400,3300,3300,3850,3850,122.1573400624822,94.0690804231532,0.055,0.055,0.04,150,90,0.0286711459424286
60_m2_k_ah,0.205,0.11341137394123096,640.6215672667574,483.0708944587908,800,1150,1750,2400,3300,3300,3850,3850,137.0727190543205,108.2892089852102,0.055,0.055,0.04,150,90,0.04468366481086898
61_m1_t_aa,0.205,0.10034745591090778,286.8518798721621,709.8593305293058,800,1150,1750,2400,3300,3300,3850,3850,99.49039087214177,100.307460624893,0.055,0.055,0.04,150,90,0.04045789971680912
62_m2_p_ah,0.205,0.14580231614728476,510.5398307384336,823.1902084978284,800,1150,1750,2400,3300,3300,3850,3850,124.73837553887256,78.3408907392378,0.055,0.055,0.04,150,90,0.08021462014476116
63_m1_t_iy,0.205,0.09377035928189634,54.993935802132,157.77373539489724,800,1150,1750,2400,3300,3300,3850,3850,142.85329501159265,87.53279757778535,0.055,0.055,0.04,150,90,0.049934818615018486
64_m1_p_aa,0.205,0.1381676970386942,398.3516175538716,815.3414034847841,800,1150,1750,2400,3300,3300,3850,3850,148.00277696089623,106.15186941697034,0.055,0.055,0.04,150,90,0.0021484752423721817
65_m1_p_aa,0.205,0.12534710766436197,435.2209393230046,721.3791820193112,800,1150,1750,2400,3300,3300,3850,3850,100.89666388930931,84.4371236959877,0.055,0.055,0.04,150,90,0.08774774436604883
66_m2_t_ow,0.205,0.1200762847737833,330.8708421373318,583.9306605135589,800,1150,1750,2400,3300,3300,3850,3850,99.43055856515011,142.09688997210503,0.055,0.055,0.04,150,90,0.057089753438562554
67_m2_k_iy,0.205,0.10385134267598031,323.28432964680167,229.75095470886654,800,1150,1750,2400,3300,3300,3850,3850,110.24971028477813,100.76180168263056,0.055,0.055,0.04,150,90,0.07322602265709974
68_f1_t_uw,0.205,0.07648547649540237,195.38415168369897,516.8483873011849,800,1150,1750,2400,3300,3300,3850,3850,189.34366398239644,216.5137571307219,0.055,0.055,0.04,150,90,0.03699925697680717
69_m1_p_uw,0.205,0.14621900559530093,278.8141374670082,382.8187836920639,800,1150,1750,2400,3300,3300,3850,3850,93.45064073764333,84.88180480984043,0.055,0.055,0.04,150,90,0.06649141694679683
70_m1_t_aa,0.205,0.10907060989319667,440.1878968497745,512.574635307982,800,1150,1750,2400,3300,3300,3850,3850,81.85412860069569,78.83771387911435,0.055,0.055,0.04,150,90,0.03098951735040845
71_m1_k_eh,0.205,0.12637902849836982,330.8074676795335,595.8832576421393,800,1150,1750,2400,3300,3300,3850,3850,86.87446393020056,140.30645665682326,0.055,0.055,0.04,150,90,0.0014071737209436566
72_m2_t_aa,0.205,0.10469243848127158,671.8355606046987,527.5400124521238,800,1150,1750,2400,3300,3300,3850,3850,84.42220329209334,106.99109662477073,0.055,0.055,0.04,150,90,0.02780548979914102
73_f1_k_ah,0.205,0.10773118069072238,709.5980983836891,823.495895968331,800,1150,1750,2400,3300,3300,3850,3850,215.04276324048004,189.4548247408753,0.055,0.055,0.04,150,90,0
74_m2_t_uw,0.205,0.11882442441395141,362.0876479613528,182.44159991696114,800,1150,1750,2400,3300,3300,3850,3850,72.0822518122831,116.05571716390014,0.055,0.055,0.04,150,90,0.01847181494793646
75_m2_p_aa,0.205,0.1183441639185234,458.84278668961315,800.1073393537549,800,1150,1750,2400,3300,3300,3850,3850,128.8065553200706,108.32253275404358,0.055,0.055,0.04,150,90,0.006689460222620937
76_m1_k_iy,0.205,0.0920036212586424,195.05362342727105,400.32040399977996,800,1150,1750,2400,3300,3300,3850,3850,133.05515801042398,90.6686828470448,0.055,0.055,0.04,150,90,0.03332580852533284
77_m2_k_ah,0.205,0.1124172683186724,626.8132241274875,709.0407410737897,800,1150,1750,2400,3300,3300,3850,3850,95.79485252538606,133.3605629289911,0.055,0.055,0.04,150,90,0.039190268711660335
78_f1_k_aa,0.205,0.1114823765030278,1002.1842198918772,1076.5720081671923,800,1150,1750,2400,3300,3300,3850,3850,188.39135090574086,191.87666752330398,0.055,0.055,0.04,150,90,0.03772383106276067
79_f1_k_ah,0.205,0.09533212676245387,347.16635747086565,912.5612029753826,800,1150,1750,2400,3300,3300,3850,3850,200.89142552186212,156.71545099202302,0.055,0.055,0.04,150,90,0.012211258419432314
80_m1_t_eh,0.205,0.11277938484200785,239.74348899568017,545.1810487546524,800,1150,1750,2400,3300,3300,3850,3850,86.34594968775836,138.47142053151174,0.055,0.055,0.04,150,90,0.029069136453978617
81_m1_p_uw,0.205,0.15173768999570517,320.3604075224517,191.44751072935964,800,1150,1750,2400,3300,3300,3850,3850,125.24680961051523,100.90696771536375,0.055,0.055,0.04,150,90,0.020538727349556297
82_m1_t_ah,0.205,0.1263314663135773,353.1351839713377,522.2733206720364,800,1150,1750,2400,3300,3300,3850,3850,109.27211269904683,87.03321420277933,0.055,0.055,0.04,150,90,0
83_f1_t_eh,0.205,0.07773835103964902,548.8119144335801,495.53808099450634,800,1150,1750,2400,3300,3300,3850,3850,163.33189567591364,199.64019721999622,0.055,0.055,0.04,150,90,0.022695770644502133
84_f1_k_ow,0.205,0.11778366519557026,521.4207431297798,591.5055336090254,800,1150,1750,2400,3300,3300,3850,3850,164.9747783236221,175.59293314178325,0.055,0.055,0.04,150,90,0.032511734261892994
85_m1_t_ow,0.205,0.09984805672465369,748.0093454970178,548.0633860796133,800,1150,1750,2400,3300,3300,3850,3850,84.35065233175803,114.08277903426038,0.055,0.055,0.04,150,90,0.03087733594790832
86_m2_t_eh,0.205,0.1340901189329883,508.54280026493404,621.12849324027,800,1150,1750,2400,3300,3300,3850,3850,69.48693021248121,82.79633191361866,0.055,0.055,0.04,150,90,0.06106573397555344
87_f1_t_ow,0.205,0.07261494618479719,385.82194866966387,604.6341785831514,800,1150,1750,2400,3300,3300,3850,3850,192.22157222296963,155.90400342910795,0.055,0.055,0.04,150,90,0.026968775603687583
88_f1_p_ah,0.205,0.18684836763678747,433.5926292240621,677.7998365444166,800,1150,1750,2400,3300,3300,3850,3850,144.6718073612309,160.75306316594734,0.055,0.055,0.04,150,90,0.04006082274503897
89_m1_p_ah,0.205,0.1262985331852513,562.4890762896869,706.0401733495889,800,1150,1750,2400,3300,3300,3850,3850,97.27897572058806,135.84836601249305,0.055,0.055,0.04,150,90,0.07058762095294618
90_f1_p_iy,0.205,0.0654486113203907,260.2070736220596,340.8287565411732,800,1150,1750,2400,3300,3300,3850,3850,174.08526327185376,189.4454148041212,0.055,0.055,0.04,150,90,0.020369089872442934
91_m1_k_ow,0.205,0.09979805839994595,409.09587907510183,575.23286403985,800,1150,1750,2400,3300,3300,3850,3850,88.16488926475257,130.77423166475617,0.055,0.055,0.04,150,90,0.06619222842362495
92_f1_k_eh,0.205,0.06252765058873382,426.46052334727375,758.7319441361797,800,1150,1750,2400,3300,3300,3850,3850,158.70651773546717,223.92058642016076,0.055,0.055,0.04,150,90,0.030151161714678052
93_m2_p_ah,0.205,0.14578993777109672,591.4785817731325,822.1891471245219,800,1150,1750,2400,3300,3300,3850,3850,128.63190550313254,104.1561542099343,0.055,0.055,0.04,150,90,0.038572419512753996
94_f1_k_eh,0.205,0.07666344440973692,362.1430691707563,585.3738836357758,800,1150,1750,2400,3300,3300,3850,3850,174.85639946851074,216.32382876410932,0.055,0.055,0.04,150,90,0.011725555868625184
95_f1_p_iy,0.205,0.07539435063997701,168.4783293021588,427.55775271237667,800,1150,1750,2400,3300,3300,3850,3850,233.72955730058575,225.8212390627814,0.055,0.055,0.04,150,90,0.000157406162449511
96_f1_t_ow,0.205,0.10795846390902543,311.0010759453519,376.9170870436759,800,1150,1750,2400,3300,3300,3850,3850,154.14884910200803,190.00401688306218,0.055,0.055,0.04,150,90,0
97_m1_k_aa,0.205,0.12367993817688457,654.5468715781188,703.281750544383,800,1150,1750,2400,3300,3300,3850,3850,78.07994186935876,97.41365479424964,0.055,0.055,0.04,150,90,0.05394990912805342
