Name,VowelDur,ClosureDur,F1offset,F1steady,F2offset,F2steady,F3offset,F3steady,F4offset,F4steady,F5offset,F5steady,f0offset,f0steady,f0TransitionDur,F1TransitionDur,OtherFsTransitionDur,F1Closure,f0Closure,ClosureVoicingDur
0_m2_b_ah,0.205,0.06483120296405344,488.9186273577632,654.2184572548198,800,1150,1750,2400,3300,3300,3850,3850,109.67172372634086,115.27674358954327,0.055,0.055,0.04,150,90,0.06483120296405344
1_m2_d_eh,0.205,0.06581435703858278,481.68285329317087,588.2807633684871,800,1150,1750,2400,3300,3300,3850,3850,98.33897093313473,131.80805523734014,0.055,0.055,0.04,150,90,0.06581435703858278
2_m1_g_ow,0.205,0.0739935923879897,270.45412968482134,490.14279511588944,800,1150,1750,2400,3300,3300,3850,3850,87.78312972511048,101.93102506523404,0.055,0.055,0.04,150,90,0.05884723888077138
3_m1_g_ow,0.205,0.07185606460672816,346.53527080654055,436.2598970171244,800,1150,1750,2400,3300,3300,3850,3850,88.16145202519,111.98752242795634,0.055,0.055,0.04,150,90,0.07185606460672816
4_f1_g_ah,0.205,0.11069253697562485,450.5548448878786,784.5303962249972,800,1150,1750,2400,3300,3300,3850,3850,68.01924055049497,93.34053461256266,0.055,0.055,0.04,150,90,0.051677165009127606
5_m2_g_uw,0.205,0.06894545738070465,213.11884357687157,318.9118293886599,800,1150,1750,2400,3300,3300,3850,3850,116.68176331247022,119.84302119778928,0.055,0.055,0.04,150,90,0.06894545738070465
6_m2_b_uw,0.205,0.06,204.37466796525746,306.2078990789134,800,1150,1750,2400,3300,3300,3850,3850,112.82481273812786,91.46301676743607,0.055,0.055,0.04,150,90,0.03733725651512609
7_m2_g_ow,0.205,0.09896972332924885,339.21798931859337,419.8275961702436,800,1150,1750,2400,3300,3300,3850,3850,100.57753145586577,104.6958843687978,0.055,0.055,0.04,150,90,0.03957533581213547
8_m1_d_eh,0.205,0.08971287016586313,410.61587420539735,433.91557785515505,800,1150,1750,2400,3300,3300,3850,3850,113.94044711058142,131.80075597120808,0.055,0.055,0.04,150,90,0.08971287016586313
9_m2_d_eh,0.205,0.06659678071946992,461.8580242987005,556.7042548211359,800,1150,1750,2400,3300,3300,3850,3850,89.63689219806122,103.39036216846719,0.055,0.055,0.04,150,90,0.06659678071946992
10_m1_b_aa,0.205,0.09988637183708779,562.861731334742,540.2171191387209,800,1150,1750,2400,3300,3300,3850,3850,106.4156423823945,133.63748843180352,0.055,0.055,0.04,150,90,0.09988637183708779
11_m2_d_uw,0.205,0.06,263.54858914680386,281.73477924395996,800,1150,1750,2400,3300,3300,3850,3850,113.51075511778616,98.32004893673047,0.055,0.055,0.04,150,90,0.06
12_f1_d_uw,0.205,0.0761607924921486,324.8214220656393,330.9546603032469,800,1150,1750,2400,3300,3300,3850,3850,144.20986751558345,195.6903036385892,0.055,0.055,0.04,150,90,0.03838096199125251
13_m1_b_ow,0.205,0.06734756996409273,436.4035410549785,473.91733975436625,800,1150,1750,2400,3300,3300,3850,3850,98.78169176038854,119.62674445052708,0.055,0.055,0.04,150,90,0.06734756996409273
14_m1_b_ow,0.205,0.1091586073609476,484.8505915062664,478.8951757830631,800,1150,1750,2400,3300,3300,3850,3850,89.25364910684536,130.55914556515506,0.055,0.055,0.04,150,90,0.1091586073609476
15_f1_b_eh,0.205,0.09785872980576409,499.9322246186711,570.3663737570145,800,1150,1750,2400,3300,3300,3850,3850,182.05127947387768,178.91315241639018,0.055,0.055,0.04,150,90,0.09785872980576409
16_m2_g_iy,0.205,0.09780342372727377,244.38378234542125,234.03565651629873,800,1150,1750,2400,3300,3300,3850,3850,84.5582456896969,118.81605064103945,0.055,0.055,0.04,150,90,0.09780342372727377
17_f1_b_ah,0.205,0.08422589606958757,574.0514490690442,773.5672662629577,800,1150,1750,2400,3300,3300,3850,3850,150.99902024894516,182.87266455423176,0.055,0.055,0.04,150,90,0.04486324958418157
18_m2_d_ah,0.205,0.06932442937613245,375.0321318254745,685.1718609566593,800,1150,1750,2400,3300,3300,3850,3850,86.9331397849099,114.75996742578315,0.055,0.055,0.04,150,90,0.06932442937613245
